"","Taxon","X","site_code","n_treat_years","sum.ctrl.cover","mean.ctrl.cover","sum.drt.cover","mean.drt.cover","sum.cover.response","mean.cover.response","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"122","BROMUS STERILIS",2116,"cowidrt.ca",1,26,13,10,3.333333333,-16,-9.666666667,27.9,0.658333333,NA,30.5349098,1.5,0.4459545,279.231,NA,"GRASS","ANNUAL","GRASS"
"123","BROMUS STERILIS",444,"baddrt.de",1,0.41,0.1025,5,5,4.59,4.8975,27.9,0.658333333,NA,30.5349098,1.5,0.4459545,279.231,NA,"GRASS","ANNUAL","GRASS"
"124","BROMUS TECTORUM",4619,"nnss.us",1,43.8977668,4.38977668,6.1766546,0.882379229,-37.7211122,-3.507397451,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"125","BROMUS TECTORUM",4662,"nplatte.us",1,38,6.333333333,99,14.14285714,61,7.80952381,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"126","BROMUS TECTORUM",3053,"hard.us",1,2,2,5,5,3,3,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"255","ERAGROSTIS DIELSII",2341,"credom.au",1,2.5,1.25,0.5,0.5,-2,-0.75,NA,0.3,NA,5.7,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"352","HORDEUM PUSILLUM",4348,"marcdrt.ar",1,3,1.5,2,1,-1,-0.5,NA,0.36576,NA,32.4,0.2032,0.278984039,157.1579379,0.1830875,"GRASS","ANNUAL","GRASS"
"405","LOLIUM PERENNE",5879,"scruzl.us",1,25.0753466,8.358448867,6.038961,3.0194805,-19.0363856,-5.338968367,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","ANNUAL","GRASS"
"406","LOLIUM PERENNE",5954,"scruzm.us",1,7.2916666,3.6458333,1.8181818,1.8181818,-5.4734848,-1.8276515,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","ANNUAL","GRASS"
"445","PANICUM CAPILLARE",3940,"konzadrt.us",1,18,9,3,1.5,-15,-7.5,17.0314031,0.43545,NA,27.43942379,0.62,0.14,218,0.1917,"GRASS","ANNUAL","GRASS"
"565","SCHISMUS BARBATUS",2943,"gmgranite.us",1,22,3.142857143,26,3.714285714,4,0.571428571,NA,0.25,NA,18.21,0.16,NA,81.47,NA,"GRASS","ANNUAL","GRASS"
"566","SCHISMUS BARBATUS",6159,"spvdrt.ar",1,7,2.333333333,4,1.333333333,-3,-1,NA,0.25,NA,18.21,0.16,NA,81.47,NA,"GRASS","ANNUAL","GRASS"
"579","SECALE SYLVESTRE",3845,"kiskun.hu",1,0.13,0.0325,0.73,0.146,0.6,0.1135,NA,NA,NA,13.43,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"681","VENTENATA DUBIA",5084,"oreac.us",1,11.5,3.833333333,1,1,-10.5,-2.833333333,NA,0.225,NA,20.5,NA,NA,NA,0.28,"GRASS","ANNUAL","GRASS"
"682","VENTENATA DUBIA",4994,"oreaa.us",1,29,5.8,35,8.75,6,2.95,NA,0.225,NA,20.5,NA,NA,NA,0.28,"GRASS","ANNUAL","GRASS"
"700","VULPIA BROMOIDES",6173,"spvdrt.ar",1,4,2,1,1,-3,-1,NA,0.2225,NA,20.86,0.4995,NA,417.75,0.2945,"GRASS","ANNUAL","GRASS"
"701","VULPIA MYUROS",556,"baddrt.de",1,30.4,4.342857143,10.6,3.533333333,-19.8,-0.80952381,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"702","VULPIA MYUROS",5903,"scruzl.us",1,126.2277907,31.55694768,45.4545455,22.72727275,-80.7732452,-8.829674925,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"703","VULPIA MYUROS",3452,"jilpanger.au",1,1.5,0.5,1,0.5,-0.5,0,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"704","VULPIA MYUROS",5828,"scruzh.us",1,88.9457524,29.64858413,16.5425937,4.135648425,-72.4031587,-25.51293571,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
