"","unique(all.data.2$Taxon)"
"162","PSORALEA LANCEOLATA"
"163","ROSA ARKANSANA"
"164","SOLIDAGO MISSOURIENSIS"
"165","STIPA COMATA"
"166","ACACIA TETRAGONOPHYLLA"
"167","MAIREANA PYRAMIDATA"
"168","SCLEROLAENA DIACANTHA"
"169","SIDA PETROPHILA"
"170","SOLANUM ELLIPTICUM"
"171","TRIPOGON LOLIIFORMIS"
"172","AGASTACHE FOENICULUM"
"173","ALLIUM CERNUUM"
"174","ANDROPOGON GERARDII"
"175","ANEMONASTRUM CANADENSE"
"176","BROMUS INERMIS"
"177","COMANDRA UMBELLATA"
"178","CYPRIPEDIUM PARVIFLORUM"
"179","ELYMUS REPENS"
"180","GALIUM BOREALE"
"181","GLYCYRRHIZA LEPIDOTA"
"182","HELIANTHUS PAUCIFLORUS"
"183","HELIOPSIS HELIANTHOIDES"
"184","HEUCHERA RICHARDSONII"
"185","LATHYRUS OCHROLEUCUS"
"186","LIATRIS LIGULISTYLIS"
"187","LITHOSPERMUM CANESCENS"
"188","POPULUS BALSAMIFERA"
"189","ROSA ACICULARIS"
"190","SOLIDAGO RIGIDA"
"191","SONCHUS ARVENSIS"
"192","STIPA CURTISETA"
"193","SYMPHORICARPOS ALBUS"
"194","SYMPHYOTRICHUM ERICOIDES"
"195","SYMPHYOTRICHUM LAEVE"
"196","THALICTRUM VENULOSUM"
"197","VICIA AMERICANA"
"198","VIOLA ADUNCA"
"199","ZIZIA APTERA"
"200","ACMISPON MARITIMUS"
"201","AMSINCKIA TESSELLATA"
"202","ASTRAGALUS NUTTALLIANUS"
"203","BROMUS RUBENS"
"204","CHAENACTIS STEVIOIDES"
"205","CRYPTANTHA PTEROCARYA"
"206","DICHELOSTEMMA CAPITATUM"
"207","ENCELIA FARINOSA"
"208","ERODIUM TEXANUM"
"209","EUPHORBIA POLYCARPA"
"210","LOGFIA ARIZONICA"
"211","OTTLEYA STRIGOSA"
"212","PECTOCARYA HETEROCARPA"
"213","PECTOCARYA RECURVATA"
"214","PHYSARIA GORDONII"
"215","PLANTAGO OVATA"
"216","PLANTAGO PATAGONICA"
"217","SCHISMUS ARABICUS"
"218","CHORIZANTHE BREVICORNU"
"219","CRASSULA CONNATA"
"220","LUPINUS SPARSIFLORUS"
"221","MONOPTILON BELLIOIDES"
"222","PECTOCARYA PLATYCARPA"
"223","VULPIA OCTOFLORA"
"224","ARISTIDA PURPUREA"
"225","ARTEMISIA FILIFOLIA"
"226","ASCLEPIAS PUMILA"
"227","ASTRAGALUS LAXMANNII"
"228","BOUTELOUA GRACILIS"
"229","BROMUS JAPONICUS"
"230","BUCHLOE DACTYLOIDES"
"231","CAREX FILIFOLIA"
"232","CHENOPODIUM ALBUM"
"233","COREOPSIS TINCTORIA"
"234","DALEA ENNEANDRA"
"235","ELYMUS ELYMOIDES"
"236","ESCOBARIA VIVIPARA"
"237","GAURA COCCINEA"
"238","HELIANTHUS ANNUUS"
"239","HESPEROSTIPA COMATA"
"240","HETEROTHECA VILLOSA"
"241","LEPIDIUM DENSIFLORUM"
"242","LITHOSPERMUM INCISUM"
"243","MACHAERANTHERA PINNATIFIDA"
"244","OPUNTIA POLYACANTHA"
"245","PENSTEMON ALBIDUS"
"246","POLYGALA ALBA"
"247","PSORALIDIUM TENUIFLORUM"
"248","SPHAERALCEA COCCINEA"
"249","SPOROBOLUS CRYPTANDRUS"
"250","TRADESCANTIA OCCIDENTALIS"
"251","TRAGOPOGON DUBIUS"
"252","VERBENA STRICTA"
"253","AMBROSIA ARTEMISIIFOLIA"
"254","AMORPHA CANESCENS"
"255","AMPHICARPAEA BRACTEATA"
"256","CALAMOVILFA LONGIFOLIA"
"257","COREOPSIS PALMATA"
"258","DIGITARIA COGNATA"
"259","EUTHAMIA GRAMINIFOLIA"
"260","HELIANTHEMUM BICKNELLII"
"261","LATHYRUS VENOSUS"
"262","LESPEDEZA CAPITATA"
"263","MUHLENBERGIA RACEMOSA"
"264","PANICUM ACUMINATUM"
"265","PANICUM OLIGOSANTHES"
"266","PANICUM VIRGATUM"
"267","PENSTEMON GRACILIS"
"268","QUERCUS ELLIPSOIDALIS"
"269","QUERCUS MACROCARPA"
"270","SORGHASTRUM NUTANS"
"271","STIPA SPARTEA"
"272","SYMPHYOTRICHUM OOLENTANGIENSE"
"273","BAPTISIA ALBA"
"274","DALEA VILLOSA"
"275","KOELERIA MICRATHERA"
"276","LIATRIS ASPERA"
"277","MONARDA FISTULOSA"
"278","PETALOSTEMON CANDIDUS"
"279","PETALOSTEMON PURPUREUS"
"280","SOLIDAGO NEMORALIS"
"281","TARAXACUM CAMPYLODES"
"282","ALLIONIA INCARNATA"
"283","ARISTIDA MENDOCINA"
"284","BOERHAVIA DIFFUSA"
"285","BOUTELOUA ARISTIDOIDES"
"286","BRACHIARIA PAUCISPICATA"
"287","CENCHRUS CILIARIS"
"288","CORDOBIA ARGENTEA"
"289","COTTEA PAPPOPHOROIDES"
"290","DIGITARIA CALIFORNICA"
"291","ERAGROSTIS ORTHOCLADA"
"292","EUPHORBIA EICHLERI"
"293","GAYA PARVIFLORA"
"294","GOUINIA PARAGUAYENSIS"
"295","LARREA DIVARICATA"
"296","LEPTOCHLOA DUBIA"
"297","PAPPOPHORUM KRAPOVICKASII"
"298","PROSOPIS PUGIONATA"
"299","PROSOPIS TORQUATA"
"300","RHYNCHOSIDA PHYSOCALYX"
"301","SETARIA PAMPEANA"
"302","SIDA ARGENTINA"
"303","TRAGIA HIERONYMI"
"304","XEROALOYSIA OVATIFOLIA"
"305","BACCHARIS GILLIESII"
"306","NASSELLA LONGIGLUMIS"
"307","NASSELLA TENUIS"
"308","NOTICASTRUM SERICEUM"
"309","PAPPOPHORUM MUCRONULATUM"
"310","POA LIGULARIS"
"311","SCHINUS JOHNSTONII"
"312","EREMOPHILA GILESII"
"313","ACMELLA DECUMBENS"
"314","ALLIUM NEAPOLITANUM"
"315","AMBROSIA TENUIFOLIA"
"316","ASTER SQUAMATUS"
"317","BACCHARIS PINGRAEA"
"318","BRIZA SUBARISTATA"
"319","CAREX BONARIENSIS"
"320","CAREX PHALAROIDES"
"321","CIRSIUM VULGARE"
"322","CYPELLA HERBERTII"
"323","CYPERUS ERAGROSTIS"
"324","DANTHONIA MONTEVIDENSIS"
"325","ELEOCHARIS VIRIDANS"
"326","ERIGERON BONARIENSIS"
"327","FESTUCA ARUNDINACEA"
"328","HYDROCOTYLE BONARIENSIS"
"329","JAEGERIA HIRTA"
"330","LEERSIA HEXANDRA"
"331","LOTUS GLABER"
"332","LYTHRUM HYSSOPIFOLIA"
"333","PANICUM BERGII"
"334","PANICUM GOUINII"
"335","PANICUM SABULORUM"
"336","PASPALIDIUM PALUDIVAGUM"
"337","PASPALUM DILATATUM"
"338","PASPALUM VAGINATUM"
"339","PHYLA CANESCENS"
"340","POLYPOGON ELONGATUS"
"341","SETARIA PARVIFLORA"
"342","STEINCHISMA HIANS"
"343","STENOTAPHRUM SECUNDATUM"
"344","CENTAUREA HYSSOPIFOLIA"
"345","GYPSOPHILA STRUTHIUM"
"346","HELIANTHEMUM SQUAMATUM"
"347","LEPIDIUM SUBULATUM"
"348","ASTRAGALUS MISER"
"349","CHRYSOTHAMNUS VISCIDIFLORUS"
"350","ELYMUS SPICATUS"
"351","EREMOGONE CONGESTA"
"352","FESTUCA IDAHOENSIS"
"353","PHLOX MULTIFLORA"
"354","POA CUSICKII"
"355","PTERYXIA HENDERSONII"
"356","SEDUM LANCEOLATUM"
"357","CALOTIS LAPPULACEA"
"358","EMEX AUSTRALIS"
"359","EREMOPHILA DUTTONII"
"360","PTILOTUS ATRIPLICIFOLIUS"
"361","STIPA SCABRA"
"362","ACER MACROPHYLLUM"
"363","ACMISPON PARVIFLORUS"
