,Taxon,X.x,site_code,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response,X.y,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group
175,COLLINSIA PARVIFLORA,5027,oreac.us,1,3.5,0.7,3,0.6,-0.5,-0.1,238,NA,0.3048,NA,32.3,NA,NA,NA,0.28,FORB,ANNUAL,FORB
176,COLLINSIA PARVIFLORA,4910,oreaa.us,1,1.5,0.5,1.5,0.5,0,0,238,NA,0.3048,NA,32.3,NA,NA,NA,0.28,FORB,ANNUAL,FORB
183,COREOPSIS TINCTORIA,1511,cdpt_drt.us,1,21,3.5,4.5,2.25,-16.5,-1.25,249,14.704,0.1905,12.73,14.36677143,NA,NA,28.59345,NA,FORB,ANNUAL,FORB
187,CREPIS CAPILLARIS,462,baddrt.de,1,9.7,1.616666667,18,9,8.3,7.383333333,257,15.3822896,0.458333333,10.7,35.00023666,0.385,NA,138,NA,FORB,ANNUAL,FORB
188,CROTON MONANTHOGYNUS,4751,oklah.us,1,4,1.333333333,3.5,1.75,-0.5,0.416666667,263,17.5,NA,NA,18.1,NA,NA,NA,NA,FORB,ANNUAL,FORB
228,EPILOBIUM BRACHYCARPUM,4929,oreaa.us,1,7.5,1.5,4.5,0.9,-3,-0.6,344,30.48666667,0.286,10.95816314,21.56584,NA,NA,81.71053333,NA,FORB,ANNUAL,FORB
229,EPILOBIUM BRACHYCARPUM,5047,oreac.us,1,7.5,1.5,7.5,1.5,0,0,344,30.48666667,0.286,10.95816314,21.56584,NA,NA,81.71053333,NA,FORB,ANNUAL,FORB
234,ERAGROSTIS DIELSII,2341,credom.au,1,2.5,1.25,0.5,0.5,-2,-0.75,349,NA,0.3,NA,5.7,NA,NA,NA,NA,GRASS,ANNUAL,GRASS
237,ERIGERON ANNUUS,2741,esw.ca,1,3,1,3,1,0,0,358,13.87251282,0.790891667,NA,23.37334387,1.02,0.32875817,62.7520477,0.25,FORB,ANNUAL,FORB
238,ERIGERON BONARIENSIS,1942,chilcasdrt.ar,1,5,5,1,1,-4,-4,362,20.2,0.46625,NA,17.6205,NA,NA,NA,NA,FORB,ANNUAL,FORB
240,ERIGERON STRIGOSUS,3922,konzadrt.us,1,1,1,1,1,0,0,365,15.42,0.566,NA,24.97386549,0.254,NA,NA,NA,FORB,ANNUAL,FORB
242,ERODIUM CICUTARIUM,2970,gmmolar.us,1,13.5,1.928571429,27.5,3.928571429,14,2,379,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
243,ERODIUM CICUTARIUM,6089,spvdrt.ar,1,6,2,2,1,-4,-1,379,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
244,ERODIUM CICUTARIUM,2934,gmgranite.us,1,15,2.142857143,47,6.714285714,32,4.571428571,379,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB
248,EUPHORBIA DENTATA,4780,oklah.us,1,0.5,0.5,0.5,0.5,0,0,389,NA,NA,NA,NA,NA,0.28,NA,0.21,FORB,ANNUAL,FORB
251,EUPHRASIA MINIMA,5268,passogavia.it,1,0.05,0.0125,0.01,0.01,-0.04,-0.0025,397,26.868,0.108,NA,17.10079827,NA,NA,NA,NA,FORB,ANNUAL,FORB
274,GALIUM APARINE,479,baddrt.de,1,0.42,0.07,0.2,0.1,-0.22,0.03,427,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334,FORB,ANNUAL,FORB
275,GALIUM APARINE,2168,cowidrt.ca,1,5,1,4,1,-1,0,427,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334,FORB,ANNUAL,FORB
280,GALIUM MOLLUGO,5552,rhijn.nl,1,155,25.83333333,50,25,-105,-0.833333333,430,29.6653889,0.57825,12.06782427,21.5515698,NA,0.105319476,406.1581499,0.264461111,FORB,ANNUAL,FORB
286,GERANIUM DISSECTUM,5949,scruzm.us,1,10.7321117,3.577370567,5.8522727,2.92613635,-4.879839,-0.651234217,438,19.13,0.151,NA,17.86,0.45,0.382010582,207.6012196,0.122766667,FORB,ANNUAL,FORB
287,GERANIUM DISSECTUM,3251,jenadrt.de,1,28,9.333333333,6,2,-22,-7.333333333,438,19.13,0.151,NA,17.86,0.45,0.382010582,207.6012196,0.122766667,FORB,ANNUAL,FORB
288,GERANIUM DISSECTUM,5862,scruzl.us,1,104.7801431,20.95602862,11.3977867,3.799262233,-93.3823564,-17.15676639,438,19.13,0.151,NA,17.86,0.45,0.382010582,207.6012196,0.122766667,FORB,ANNUAL,FORB
300,HELIANTHUS ANNUUS,1517,cdpt_drt.us,1,0.5,0.5,2.6,0.866666667,2.1,0.366666667,472,18,NA,27.3,18.91505647,0.2032,0.086907021,191.3969043,0.945853228,FORB,ANNUAL,FORB
316,HOLOSTEUM UMBELLATUM,3833,kiskun.hu,1,3.51,0.702,0.12,0.04,-3.39,-0.662,497,NA,0.161666667,NA,35.26333333,0.24,NA,NA,NA,FORB,ANNUAL,FORB
317,HOLOSTEUM UMBELLATUM,2753,esw.ca,1,1,1,1,1,0,0,497,NA,0.161666667,NA,35.26333333,0.24,NA,NA,NA,FORB,ANNUAL,FORB
318,HORDEUM PUSILLUM,4348,marcdrt.ar,1,3,1.5,2,1,-1,-0.5,499,NA,0.36576,NA,32.4,0.2032,0.278984039,157.1579379,0.1830875,GRASS,ANNUAL,GRASS
319,HYALOSPERMA DEMISSUM,3398,jilpanger.au,1,3.5,0.7,0.5,0.5,-3,-0.2,500,NA,0.03518491,NA,38.104966,NA,NA,NA,NA,FORB,ANNUAL,FORB
321,HYDROCOTYLE FOVEOLATA,3400,jilpanger.au,1,2,0.5,0.5,0.5,-1.5,0,502,NA,0.13,NA,40.950606,NA,NA,NA,NA,FORB,ANNUAL,FORB
322,HYPOCHAERIS GLABRA,3404,jilpanger.au,1,2.5,0.5,1.5,0.5,-1,0,509,NA,0.301666667,NA,40.145,NA,NA,NA,NA,FORB,ANNUAL,FORB
329,ISOETOPSIS GRAMINIFOLIA,2352,credom.au,1,0.5,0.5,0.5,0.5,0,0,517,NA,0.045,NA,14.44850259,NA,NA,NA,NA,FORB,ANNUAL,FORB
356,LINUM CATHARTICUM,239,allmendo.ch,1,6.25,2.083333333,5,1.666666667,-1.25,-0.416666667,577,20.2751018,0.184833333,NA,29.89038332,0.18,0.1190476,308.1,0.21608502,FORB,ANNUAL,FORB
357,LINUM CATHARTICUM,93,allmendb.ch,1,7.5,2.5,6.25,2.083333333,-1.25,-0.416666667,577,20.2751018,0.184833333,NA,29.89038332,0.18,0.1190476,308.1,0.21608502,FORB,ANNUAL,FORB
358,LINUM CATHARTICUM,2635,elvadrt.ee,1,1,1,3,1.5,2,0.5,577,20.2751018,0.184833333,NA,29.89038332,0.18,0.1190476,308.1,0.21608502,FORB,ANNUAL,FORB
364,LOLIUM PERENNE,5879,scruzl.us,1,25.0753466,8.358448867,6.038961,3.0194805,-19.0363856,-5.338968367,589,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,ANNUAL,GRASS
365,LOLIUM PERENNE,5954,scruzm.us,1,7.2916666,3.6458333,1.8181818,1.8181818,-5.4734848,-1.8276515,589,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,ANNUAL,GRASS
381,MEDICAGO MINIMA,2365,credom.au,1,23,5.75,2,2,-21,-3.75,618,36.2,0.1701,NA,24.66638889,0.22,0.0815,211.5066667,0.3834,LEGUME,ANNUAL,LEGUME
382,MEDICAGO MINIMA,3836,kiskun.hu,1,0.1,0.1,0.01,0.01,-0.09,-0.09,618,36.2,0.1701,NA,24.66638889,0.22,0.0815,211.5066667,0.3834,LEGUME,ANNUAL,LEGUME
384,MILLOTIA TENUIFOLIA,3426,jilpanger.au,1,2,0.666666667,0.5,0.5,-1.5,-0.166666667,628,NA,0.12,NA,36.253385,NA,NA,NA,NA,FORB,ANNUAL,FORB
385,MINUARTIA GLOMERATA,3838,kiskun.hu,1,0.2,0.2,0.21,0.07,0.01,-0.13,630,NA,NA,NA,11.1936,NA,NA,NA,NA,FORB,ANNUAL,FORB
402,PANICUM CAPILLARE,3940,konzadrt.us,1,18,9,3,1.5,-15,-7.5,674,17.0314031,0.43545,NA,27.43942379,0.62,0.14,218,0.1917,GRASS,ANNUAL,GRASS
430,PLANTAGO PATAGONICA,1451,capmcd.us,1,1.5,0.75,4,4,2.5,3.25,744,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,FORB,ANNUAL,FORB
431,PLANTAGO PATAGONICA,6149,spvdrt.ar,1,4,2,1,1,-3,-1,744,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,FORB,ANNUAL,FORB
432,PLANTAGO PATAGONICA,4817,oklah.us,1,1,0.5,0.5,0.5,-0.5,0,744,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,FORB,ANNUAL,FORB
433,PLANTAGO PATAGONICA,4689,nplatte.us,1,8,2,2,2,-6,0,744,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,FORB,ANNUAL,FORB
434,PLANTAGO PATAGONICA,1493,capwhite.us,1,6,1.5,2,1,-4,-0.5,744,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,FORB,ANNUAL,FORB
435,PLANTAGO RHODOSPERMA,824,bfl.us,1,1,1,2,1,1,0,745,NA,NA,NA,17.37,NA,NA,NA,NA,FORB,ANNUAL,FORB
459,POLYGONUM ARENARIUM,3843,kiskun.hu,1,0.62,0.124,0.14,0.028,-0.48,-0.096,768,NA,NA,NA,16.81,NA,NA,NA,NA,FORB,ANNUAL,FORB
475,QUINETIA URVILLEI,3435,jilpanger.au,1,2.5,0.5,1,0.5,-1.5,0,810,NA,0.2,NA,28.711511,NA,NA,NA,NA,FORB,ANNUAL,FORB
480,RAPHANUS SATIVUS,5885,scruzl.us,1,174.8182198,34.96364396,305.4907505,61.0981501,130.6725307,26.13450614,816,40.5,0.715,14.825,34.60857143,1.566667,NA,NA,NA,FORB,ANNUAL,FORB
481,RAPHANUS SATIVUS,5961,scruzm.us,1,37.2010363,7.44020726,102.8851914,20.57703828,65.6841551,13.13683102,816,40.5,0.715,14.825,34.60857143,1.566667,NA,NA,NA,FORB,ANNUAL,FORB
483,RHINANTHUS MINOR,692,bayrdrt.de,1,0.1,0.1,2,2,1.9,1.9,818,34.3558401,0.395833333,NA,18.84206584,NA,NA,NA,NA,FORB,ANNUAL,FORB
484,RHINANTHUS MINOR,127,allmendb.ch,1,1.25,0.416666667,6,2,4.75,1.583333333,818,34.3558401,0.395833333,NA,18.84206584,NA,NA,NA,NA,FORB,ANNUAL,FORB
485,RHINANTHUS MINOR,267,allmendo.ch,1,3.25,1.083333333,2.5,0.833333333,-0.75,-0.25,818,34.3558401,0.395833333,NA,18.84206584,NA,NA,NA,NA,FORB,ANNUAL,FORB
487,RUDBECKIA HIRTA,6071,slp.us,1,13,4.333333333,11,5.5,-2,1.166666667,831,28.33854,0.48345,21.64598,19.67108394,0.254,0.14325585,119.2626432,0.2691575,FORB,ANNUAL,FORB
488,RUDBECKIA HIRTA,830,bfl.us,1,1,1,3,1.5,2,0.5,831,28.33854,0.48345,21.64598,19.67108394,0.254,0.14325585,119.2626432,0.2691575,FORB,ANNUAL,FORB
498,SALVIA VERBENACA,2294,credoj.au,1,3,0.6,2.5,0.5,-0.5,-0.1,845,NA,0.508333333,NA,11.94,NA,NA,NA,NA,FORB,ANNUAL,FORB
499,SALVIA VERBENACA,2382,credom.au,1,7,1.4,4,0.8,-3,-0.6,845,NA,0.508333333,NA,11.94,NA,NA,NA,NA,FORB,ANNUAL,FORB
503,SCHISMUS BARBATUS,2943,gmgranite.us,1,22,3.142857143,26,3.714285714,4,0.571428571,852,NA,0.25,NA,18.21,0.16,NA,81.47,NA,GRASS,ANNUAL,GRASS
504,SCHISMUS BARBATUS,6159,spvdrt.ar,1,7,2.333333333,4,1.333333333,-3,-1,852,NA,0.25,NA,18.21,0.16,NA,81.47,NA,GRASS,ANNUAL,GRASS
517,SECALE SYLVESTRE,3845,kiskun.hu,1,0.13,0.0325,0.73,0.146,0.6,0.1135,863,NA,NA,NA,13.43,NA,NA,NA,NA,GRASS,ANNUAL,GRASS
519,SENECIO MADAGASCARIENSIS,6374,yarradrt.au,1,2,2,15,15,13,13,871,37.065,0.6,NA,23.57,NA,NA,NA,NA,NULL,ANNUAL,FORB
525,SOLANUM ELAEAGNIFOLIUM,6001,sevmixed.us,1,1.5,0.5,1,0.5,-0.5,0,893,NA,1,NA,11.75,1.77,NA,15.678,0.324,FORB,ANNUAL,FORB
541,SONCHUS ASPER,5892,scruzl.us,1,2.0408163,2.0408163,43.6436137,14.54787123,41.6027974,12.50705493,905,28.56,0.5875,NA,24.97389591,0.69,0.301036269,223.2180487,0.1419,FORB,ANNUAL,FORB
542,SONCHUS ASPER,528,baddrt.de,1,1.05,0.35,3,1,1.95,0.65,905,28.56,0.5875,NA,24.97389591,0.69,0.301036269,223.2180487,0.1419,FORB,ANNUAL,FORB
543,SONCHUS OLERACEUS,529,baddrt.de,1,1.31,0.3275,0.1,0.1,-1.21,-0.2275,906,34.9,1.1328125,NA,39.67950467,0.755,NA,76.97,NA,FORB,ANNUAL,FORB
582,THLASPI ARVENSE,3110,hard.us,1,5,1.666666667,9,3,4,1.333333333,961,NA,0.423333333,NA,24.42761317,0.49,0.2761525,428.45,0.151906994,FORB,ANNUAL,FORB
584,TIDESTROMIA LANUGINOSA,3478,jorndrt.us,1,2,2,0.2,0.2,-1.8,-1.8,968,NA,NA,NA,17.09882973,0.265,NA,4.37819,0.074,FORB,ANNUAL,FORB
590,TRIFOLIUM DUBIUM,3333,jenadrt.de,1,15,5,6,2,-9,-3,982,35.6,0.076,27.56771735,30.39,0.3445,0.109,254.8747547,0.231187416,LEGUME,ANNUAL,LEGUME
606,VALERIANELLA LOCUSTA,2229,cowidrt.ca,1,9,1.8,10,2.5,1,0.7,1000,26,0.1925,NA,31.7,0.275,0.12422171,,0.161086485,FORB,ANNUAL,FORB
607,VENTENATA DUBIA,4994,oreaa.us,1,29,5.8,35,8.75,6,2.95,1001,NA,0.225,NA,20.5,NA,NA,NA,0.28,GRASS,ANNUAL,GRASS
608,VENTENATA DUBIA,5084,oreac.us,1,11.5,3.833333333,1,1,-10.5,-2.833333333,1001,NA,0.225,NA,20.5,NA,NA,NA,0.28,GRASS,ANNUAL,GRASS
609,VERONICA ARVENSIS,3344,jenadrt.de,1,1.5,0.5,1.5,0.5,0,0,1004,15,0.187777778,NA,21.00097059,0.19,NA,NA,0.16314813,FORB,ANNUAL,FORB
610,VERONICA ARVENSIS,2233,cowidrt.ca,1,1,1,2,1,1,0,1004,15,0.187777778,NA,21.00097059,0.19,NA,NA,0.16314813,FORB,ANNUAL,FORB
618,VICIA ARTICULATA,734,bayrdrt.de,1,0.1,0.1,0.1,0.1,0,0,1008,NA,0.253333333,NA,25.51,NA,NA,NA,NA,LEGUME,ANNUAL,LEGUME
621,VICIA HIRSUTA,2237,cowidrt.ca,1,9,1.8,9,2.25,0,0.45,1010,43.2098,0.4375,28.02801,22.05714286,0.66,0.3375,87.90712843,0.2074,FORB,ANNUAL,LEGUME
622,VICIA SATIVA,2241,cowidrt.ca,1,5,1,7,1.75,2,0.75,1011,44.5,0.7509,3.5,26.61714286,0.3048,0.430769231,60.47073255,0.222666667,FORB,ANNUAL,LEGUME
626,VULPIA BROMOIDES,6173,spvdrt.ar,1,4,2,1,1,-3,-1,1020,NA,0.2225,NA,20.86,0.4995,NA,417.75,0.2945,GRASS,ANNUAL,GRASS
627,VULPIA MYUROS,3452,jilpanger.au,1,1.5,0.5,1,0.5,-0.5,0,1021,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,GRASS,ANNUAL,GRASS
628,VULPIA MYUROS,556,baddrt.de,1,30.4,4.342857143,10.6,3.533333333,-19.8,-0.80952381,1021,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,GRASS,ANNUAL,GRASS
629,VULPIA MYUROS,5828,scruzh.us,1,88.9457524,29.64858413,16.5425937,4.135648425,-72.4031587,-25.51293571,1021,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,GRASS,ANNUAL,GRASS
630,VULPIA MYUROS,5903,scruzl.us,1,126.2277907,31.55694768,45.4545455,22.72727275,-80.7732452,-8.829674925,1021,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,GRASS,ANNUAL,GRASS
