AccSpeciesName,Leaf area,Leaf carbon (C) content per leaf dry mass,Leaf nitrogen (N) content per leaf dry mass,Plant height vegetative.cm,Root carbon (C) content per root dry mass,Root nitrogen (N) content per root dry mass,Seed dry mass,Specific leaf area,Leaf thickness,Root rooting depth,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Root diameter,"Fine root length per fine root dry mass (specific fine root length, SRL)",Coarse root nitrogen (N) content per coarse root dry mass,Fine root carbon (C) content per fine root dry mass,Fine root nitrogen (N) content per fine root dry mass
Cyperus eragrostis,NA,NA,NA,NA,NA,NA,0.115666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus reflexus,NA,NA,NA,NA,NA,NA,0.02,11.65762839,0.396666667,NA,NA,NA,NA,NA,NA,NA
Cytisus scoparius,28.1413037,NA,31.01944444,1.7959,NA,NA,8.447442546,22.29605641,0.140737037,0.4064,0.225212487,NA,NA,NA,NA,NA
Dactylis glomerata,951.1257079,433.6988474,25.72069341,0.671309259,412.6571429,10.15714286,0.920318657,26.04843708,0.120579048,0.3048,0.240117842,0.142857143,NA,NA,NA,NA
Dactylorhiza maculata,1420.8,NA,NA,0.6,NA,NA,NA,24.23285714,NA,NA,0.120096667,NA,NA,NA,NA,NA
Dalea candida,NA,NA,NA,0.46064,NA,NA,1.537888889,10.76043991,NA,NA,0.292063905,NA,NA,NA,NA,NA
Dalea purpurea,NA,NA,NA,0.5272,NA,NA,2.700333333,13.02080619,NA,NA,0.284704385,NA,NA,NA,NA,NA
Dalea searlsiae,NA,NA,NA,NA,NA,NA,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalea villosa,NA,NA,NA,NA,NA,NA,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danthonia californica,NA,NA,NA,0.6096,NA,NA,5.515737923,NA,NA,0.4064,NA,NA,NA,NA,NA,NA
Danthonia decumbens,378,NA,16.5,0.35,NA,NA,1.435575,16.236,NA,NA,0.343988,NA,NA,NA,NA,NA
Danthonia montevidensis,NA,NA,NA,0.223648649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daphne laureola,1522.736667,NA,NA,0.9625,NA,NA,NA,9.236666667,NA,NA,0.27733,NA,NA,NA,NA,NA
Daucus carota,NA,430.2124732,23.75644602,0.487097662,NA,NA,1.061872467,17.37707021,NA,NA,0.293200904,NA,NA,NA,NA,NA
Daucus glochidiatus,122.418125,NA,NA,0.19,NA,NA,1.67,24.46724868,NA,NA,NA,NA,NA,NA,NA,NA
Delphinium menziesii,NA,NA,NA,NA,NA,NA,1.317,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deschampsia cespitosa,314.9073162,465.8274569,19.38145224,0.623466667,NA,NA,0.272182639,15.38069921,0.3725,NA,0.337972358,NA,NA,NA,440.726102,11.07335711
Deschampsia flexuosa,39.17993973,428.9047152,21.14852266,0.40801415,NA,6.90123,0.529956048,17.19285365,0.335305556,0.2032,0.338814668,NA,NA,NA,458.642943,14.24622238
Descurainia pinnata,NA,NA,NA,NA,NA,NA,0.106357143,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmanthus acuminatus,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmanthus illinoensis,NA,NA,NA,0.9144,NA,NA,5.25080153,NA,NA,0.3048,NA,NA,NA,NA,NA,NA
Desmodium illinoense,NA,NA,NA,0.32,NA,NA,6.6,17.35283469,NA,NA,0.270638294,NA,NA,NA,NA,NA
Dichelachne crinita,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichopogon strictus,NA,NA,NA,NA,NA,NA,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria californica,NA,NA,NA,1.2192,NA,NA,0.403998187,NA,NA,0.254,NA,NA,NA,NA,NA,NA
Digitaria cognata,354.1725,453.66,18.09515288,0.2115,NA,NA,0.55,30.42998108,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros virginiana,NA,NA,28.2,9.457333333,NA,NA,243.7733015,11.37839081,NA,0.9144,0.373820786,NA,NA,NA,NA,NA
Dipcadi viride,NA,NA,NA,NA,NA,NA,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplotaxis tenuifolia,2296,NA,NA,0.575,NA,NA,0.301583333,22.45,NA,NA,0.113,NA,NA,NA,NA,NA
Draba verna,118.5,NA,NA,0.095,NA,NA,0.134679261,32.29400837,NA,NA,0.131391429,NA,NA,NA,NA,NA
Echinops sphaerocephalus,NA,NA,NA,1.4375,NA,NA,14.24716667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echium vulgare,4523,NA,23.6,0.716666667,NA,NA,2.910548718,14.45,NA,NA,0.142,NA,NA,NA,NA,NA
Ehrharta stipoides,NA,NA,NA,NA,NA,NA,5.6375,34.42882407,0.0875,NA,NA,NA,NA,NA,NA,NA
Elymus elymoides,NA,NA,16.6,0.4572,NA,6.333333333,2.358846618,NA,0.12,0.3048,NA,NA,NA,NA,NA,NA
Elymus glaucus,NA,NA,NA,1.00584,NA,NA,3.613980712,NA,NA,0.3048,NA,NA,NA,NA,NA,NA
Elymus lanceolatus,NA,NA,NA,NA,NA,NA,4.163333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elymus repens,1709.497333,448.1403943,26.17661742,0.605442518,NA,NA,2.632604182,22.79877956,0.17675,0.3556,0.289986123,NA,2417.441564,NA,NA,NA
Elymus smithii,615.48375,444.0285,28.0185,0.6096,NA,NA,3.193625998,31.74700117,0.277777778,0.508,NA,NA,NA,NA,NA,NA
Elymus spicatus,NA,NA,NA,0.8382,NA,NA,3.867837198,NA,0.0975,0.254,NA,NA,NA,NA,NA,NA
Empetrum nigrum,5.375333333,562.7960407,11.54888567,0.271133333,NA,6.06,1.055775,9.729822391,0.178001852,0.2532,0.378649643,NA,NA,NA,525.4766021,9.349487849
Encelia farinosa,NA,NA,NA,0.9144,NA,NA,5.16631953,NA,0.254625,0.3048,NA,NA,NA,NA,NA,NA
Enneapogon polyphyllus,131.4923,430,10.55,0.325,550,3.7,1.476333333,7.035333333,0.14,NA,NA,0.6,NA,NA,NA,NA
Enteropogon ramosus,NA,NA,NA,NA,NA,NA,0.735,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ephedra nevadensis,NA,NA,NA,0.9144,NA,NA,25.11938292,NA,NA,0.1524,NA,NA,NA,NA,NA,NA
Epilobium angustifolium,2874.814815,478.7734326,26.69696541,1.0483,NA,NA,0.155669643,19.77553761,0.215233333,0.627,0.264170862,NA,NA,NA,452.7743442,11.29821394
Epilobium brachycarpum,NA,NA,NA,NA,NA,NA,0.314666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epilobium tetragonum,NA,NA,NA,0.720833333,NA,NA,0.103958889,15.9,NA,NA,NA,NA,NA,NA,NA,NA
Epipactis palustris,976.9,NA,NA,0.4375,NA,NA,0.005,22.45,NA,NA,0.188214,NA,NA,NA,NA,NA
Equisetum arvense,104.4227778,NA,20.06733732,0.344317143,NA,NA,NA,13.18450744,NA,0.2262,0.30163971,NA,NA,NA,NA,NA
Eragrostis curvula,NA,416.5,11.225,0.9144,392.0333333,5.6,0.244511197,NA,0.14,0.3556,NA,0.3,NA,NA,NA,NA
Eragrostis dielsii,90,NA,NA,0.3,NA,NA,0.062,5.7,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis setifolia,96.342,NA,NA,0.38,NA,NA,0.040933333,7.946703097,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis spectabilis,578.1581667,450.095,10.935,0.277,NA,NA,0.155112716,15.9372921,NA,0.1016,0.422245229,NA,NA,NA,NA,NA
Eremogone congesta,NA,NA,NA,NA,NA,NA,1.195,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila duttonii,102.422,NA,NA,2.4,NA,NA,28.06366667,5.646986263,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila gilesii,NA,NA,NA,NA,NA,NA,93.3255,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriachne aristidea,NA,550,8.1,NA,540,4.5,1.4,NA,0.19,NA,NA,0.9,NA,NA,NA,NA
Erica tetralix,4.136666667,NA,11.50813841,0.465833333,NA,NA,0.015831944,10.60442241,NA,NA,0.471098333,NA,NA,NA,NA,NA
Erigeron annuus,907.6666667,458.2143783,13.87251282,0.790891667,NA,NA,0.037333333,23.37334387,NA,NA,0.253843451,NA,NA,NA,NA,NA
Erigeron bellidioides,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erigeron bloomeri,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erigeron bonariensis,NA,NA,20.2,0.46625,NA,NA,0.119066667,17.6205,0.2931,NA,NA,NA,NA,NA,NA,NA
Erigeron canadensis,NA,NA,NA,0.2418,NA,NA,0.05,18.324,NA,NA,0.28489284,NA,NA,NA,NA,NA
Erigeron strigosus,NA,NA,NA,0.633522222,NA,NA,0.640531401,24.97386549,0.14,0.254,0.149997805,NA,NA,NA,NA,NA
Eriochloa pseudoacrotricha,NA,NA,NA,NA,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriogonum annuum,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriogonum effusum,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriogonum pusillum,NA,NA,NA,NA,NA,NA,0.09175,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriogonum sphaerocephalum,NA,NA,NA,0.3048,NA,NA,1.659830918,NA,NA,0.3556,NA,NA,NA,NA,NA,NA
Eriophorum angustifolium,1422.787143,539.1661895,20.00955403,0.392104,NA,5.5,1.074778986,13.32708698,0.498,0.2895,0.342,NA,NA,NA,NA,NA
Eriophorum vaginatum,215,462.7079143,18.34176544,0.441666667,NA,7.2,0.86684,10.24422818,1.435,0.4,0.339430593,NA,NA,NA,NA,NA
Eriophyllum pringlei,NA,NA,NA,NA,NA,NA,2.5815,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriophyllum wallacei,NA,NA,NA,NA,NA,NA,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosema cordatum,NA,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erodium cicutarium,513.1543111,NA,NA,0.3255,NA,NA,1.59335381,32.53910618,0.2286,NA,0.202648889,NA,NA,NA,NA,NA
Erodium texanum,NA,NA,NA,NA,NA,NA,2.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eschscholzia californica,NA,NA,NA,0.405253333,NA,NA,1.535962035,NA,NA,0.254,NA,NA,NA,NA,NA,NA
Escobaria vivipara,NA,NA,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia cyparissias,NA,NA,NA,0.2375,NA,NA,1.9815,23.6,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia dentata,NA,NA,NA,NA,NA,NA,5.379583333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia drummondii,11.82776,NA,NA,0.1276,NA,NA,1.734833333,12.13032804,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia glyptosperma,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia polycarpa,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia seguieriana,70.57333333,NA,NA,0.425,NA,NA,0.88,18.4,NA,NA,0.282776667,NA,NA,NA,NA,NA
Euphrasia minima,NA,438.24,26.868,0.108,NA,NA,NA,17.10079827,NA,NA,NA,NA,NA,NA,NA,NA
Euthamia graminifolia,120.9943485,478.5639482,19.48915818,0.7207,NA,NA,0.091666667,12.04198841,NA,NA,0.388152164,NA,NA,NA,NA,NA
Evolvulus sericeus,NA,NA,NA,0.165186473,NA,NA,NA,13.12723643,0.144270834,NA,NA,NA,NA,NA,NA,NA
Facelis retusa,NA,NA,NA,0.0311,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fagus sylvatica,2027.6875,473.7944691,21.57683121,27.10185714,NA,3.73333,192.849,18.54393462,0.109241459,NA,0.394795752,NA,NA,NA,NA,NA
Falcaria vulgaris,6458.61,NA,NA,0.6625,NA,NA,0.8,12.88666667,NA,NA,0.187104167,NA,NA,NA,NA,NA
Festuca altaica,NA,NA,NA,NA,NA,12.5,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
Festuca arundinacea,4002.5,395.5833334,26.75,0.922297147,NA,NA,2.430847857,16.0977261,0.434,NA,0.237319638,NA,NA,NA,NA,NA
Festuca halleri,NA,NA,NA,NA,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Festuca idahoensis,NA,NA,NA,0.6096,NA,NA,1.037480408,NA,0.165,0.3556,NA,NA,NA,NA,NA,NA
Festuca ovina,92.44006667,454.8216075,16.78631631,0.414347827,NA,NA,0.986487336,16.83674211,0.245561111,0.254,0.37962724,NA,NA,NA,NA,NA
Festuca pratensis,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Festuca rubra,382,424.7358716,19.05492673,0.452958333,423.4,7.08,0.985066826,20.02617821,0.166666667,0.3048,0.407849817,0.12,NA,NA,NA,NA
Festuca rupicola,NA,437.3333333,17.52444444,0.24175,NA,NA,0.5815,14.17171717,0.306,NA,NA,NA,NA,NA,NA,NA
Festuca vaginata,NA,NA,NA,1,NA,NA,1.77,17.18213058,NA,NA,NA,NA,NA,NA,NA,NA
Festuca vivipara,41.51384,NA,NA,0.065,NA,NA,NA,11.02,NA,NA,0.369213333,NA,NA,NA,NA,NA
Fimbristylis puberula,NA,NA,NA,0.234,NA,NA,NA,18.9983695,NA,NA,0.415282019,NA,NA,NA,NA,NA
Fragaria vesca,2393.5,NA,16.48863464,0.136111111,NA,NA,7.449220682,24.4032544,NA,NA,0.348106351,NA,NA,NA,NA,NA
Fragaria viridis,963.5275,NA,14.8,0.104166667,NA,NA,0.27625,15.16848893,NA,NA,0.326048889,NA,NA,NA,NA,NA
Fumana laevipes,NA,NA,NA,NA,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fumana procumbens,10.80666667,NA,NA,0.15,NA,NA,2.4649,8.22,NA,NA,0.309793333,NA,NA,NA,NA,NA
Fumaria capreolata,NA,NA,NA,0.9125,NA,NA,4.012466667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gaillardia aristata,NA,NA,NA,0.6096,NA,NA,18.04308136,NA,NA,0.4064,NA,NA,NA,NA,NA,NA
Galactia marginalis,NA,NA,NA,0.177117117,NA,NA,NA,6.500004464,0.285416667,NA,NA,NA,NA,NA,NA,NA
Galactia regularis,NA,NA,NA,0.388,NA,NA,8.733333333,12.733856,NA,NA,0.447654488,NA,NA,NA,NA,NA
Galium aparine,107.5948467,NA,30.3875,0.765787211,NA,NA,7.23552542,34.58771111,0.1905,0.1016,0.141424362,NA,NA,NA,NA,NA
Galium boreale,79.79844813,416.25275,18.80683333,0.557766667,NA,NA,0.660091708,22.71017578,NA,0.1524,0.210856667,NA,NA,NA,NA,NA
Galium lucidum,NA,NA,NA,0.375,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galium mollugo,80.5,442.98,29.6653889,0.57825,NA,NA,0.732414815,21.5515698,NA,NA,0.173241429,NA,NA,NA,NA,NA
Galium richardianum,NA,NA,NA,NA,NA,NA,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galium saxatile,5,NA,25.1,0.175,NA,NA,0.591280952,25.08983957,0.138,NA,0.1885,NA,NA,NA,NA,NA
Galium verum,15.66666667,446.0872868,21.6094737,0.516038889,NA,NA,0.47402674,17.72121934,0.242766667,NA,0.241920278,NA,1744.346744,NA,NA,NA
Galium virgatum,NA,NA,NA,NA,NA,NA,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
Genista scorpius,NA,NA,NA,1.5,NA,NA,6.271194704,9.527159544,0.2785,NA,NA,NA,NA,NA,NA,NA
Geranium dissectum,1074.666667,NA,NA,0.383333333,NA,NA,2.421125,23.2,NA,NA,0.238,NA,NA,NA,NA,NA
Geranium molle,457.9774833,NA,NA,0.296666667,NA,NA,1.107041667,23.20870159,NA,NA,0.186666667,NA,NA,NA,NA,NA
Geranium pusillum,1898.666667,NA,NA,0.291666667,NA,NA,0.727708333,25.5,NA,NA,0.201666667,NA,NA,NA,NA,NA
Geranium thunbergii,NA,NA,NA,NA,NA,NA,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geum canadense,NA,NA,12.3,0.77936,NA,NA,3.909748792,20.2434208,NA,0.1016,0.226739031,NA,NA,NA,NA,NA
Geum triflorum,903.9888889,NA,14.44444444,0.4572,NA,7.011111111,1.104702125,11.65346353,NA,0.1524,NA,NA,NA,NA,NA,NA
Gladiolus illyricus,NA,NA,NA,NA,NA,NA,4.106,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glechoma hederacea,882,428.0708219,31.72477624,0.245,NA,15.17413,0.679111111,37.52334754,NA,NA,0.155435203,NA,5999.121212,NA,NA,NA
Globularia vulgaris,NA,NA,NA,0.2,NA,NA,0.65,6.892,NA,NA,NA,NA,NA,NA,NA,NA
Glycyrrhiza lepidota,NA,NA,NA,1.2192,NA,NA,7.358619235,NA,NA,0.3048,NA,NA,NA,NA,NA,NA
Gnaphalium supinum,NA,448.9584933,22.46381487,NA,NA,NA,0.085,27.00300375,0.2125,NA,0.187081086,NA,NA,NA,NA,NA
Gnephosis drummondii,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goodenia cycloptera,312.9251,NA,NA,0.14,NA,NA,5.09,8.635442029,NA,NA,NA,NA,NA,NA,NA,NA
Graderia scabra,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grayia spinosa,NA,NA,NA,0.9144,NA,NA,1.167905665,NA,NA,0.508,NA,NA,NA,NA,NA,NA
Grevillea australis,NA,NA,NA,NA,NA,NA,14.115,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gutierrezia sarothrae,NA,NA,25.525,0.4572,NA,NA,0.940960816,NA,NA,0.4064,NA,NA,NA,NA,NA,NA
Gymnadenia conopsea,1945.166667,451.8765272,28.85621237,0.45,NA,NA,0.007333333,19.92759166,0.3875,NA,0.135470831,NA,NA,NA,NA,NA
Gypsophila paniculata,NA,NA,NA,0.85,NA,NA,0.715666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gypsophila repens,56.16666667,NA,NA,0.14,NA,NA,0.790333333,15.67666667,NA,NA,0.14715,NA,NA,NA,NA,NA
Gypsophila struthium,NA,NA,NA,0.6,NA,NA,0.6682,7.680246718,1.192,NA,NA,NA,NA,NA,NA,NA
Hedeoma acinoides,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hedeoma hispida,NA,NA,NA,0.14225,NA,NA,0.195,21.38832049,NA,NA,0.239350558,NA,NA,NA,NA,NA
Helenium amarum,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helianthemum marifolium,NA,NA,NA,0.3,NA,NA,0.672896341,7.659559676,0.532,NA,NA,NA,NA,NA,NA,NA
Helianthemum squamatum,NA,NA,21.4,0.4,NA,NA,0.352227273,12.83542743,0.677,NA,NA,NA,NA,NA,NA,NA
Helianthus annuus,11293.96333,NA,18,2.847733333,NA,NA,32.60301121,18.91505647,NA,0.2032,0.132666667,NA,NA,NA,NA,NA
Helianthus pauciflorus,NA,NA,NA,0.39,NA,NA,NA,9.153001144,NA,NA,NA,NA,NA,NA,NA,NA
Helichrysum nudifolium,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helichrysum stoechas,NA,NA,15.1,0.4,NA,NA,0.0619,14.05029913,0.495,NA,NA,NA,NA,NA,NA,NA
Helictotrichon hookeri,NA,NA,NA,NA,NA,NA,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helictotrichon pratense,932,NA,16.4,0.816666667,NA,NA,2.37305,14.06030769,NA,NA,0.322666667,NA,NA,NA,NA,NA
Helictotrichon pubescens,967.09,NA,NA,0.680625,NA,NA,1.848441667,18.69463141,0.1937,NA,0.264,NA,NA,NA,NA,NA
Helictotrichon versicolor,NA,447.1846202,18.88884001,0.14,NA,NA,NA,11.48996431,0.257,NA,0.376691909,NA,NA,NA,NA,NA
Heliopsis helianthoides,NA,NA,NA,1.2745,NA,NA,4.661,19.34129566,NA,NA,0.197167141,NA,NA,NA,NA,NA
Heteropogon contortus,NA,444.9,11.22375,0.21336,426,4.15,1.878295529,9.881422925,0.1025,0.254,NA,0.25,NA,NA,NA,NA
Heterotheca subaxillaris,NA,NA,NA,1.8,NA,NA,0.65525,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heuchera richardsonii,NA,NA,NA,0.28,NA,NA,0.05825,9.880022444,NA,NA,0.317279498,NA,NA,NA,NA,NA
Hieracium piliferum,NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hilaria jamesii,NA,NA,21.68723958,0.6096,NA,NA,2.982539024,NA,NA,0.3048,NA,NA,NA,NA,NA,NA
Hippocrepis comosa,276.6714286,NA,NA,0.231666667,NA,NA,3.554352381,15.26545455,NA,NA,0.23559875,NA,NA,NA,NA,NA
Holcus lanatus,510.98174,419.9340741,24.56210683,0.554013615,413.5083333,9.716666667,0.373637147,33.50183772,0.1525,0.1016,0.211867351,0.116666667,NA,NA,NA,NA
Holosteum umbellatum,37.02,NA,NA,0.161666667,NA,NA,0.08,35.26333333,NA,NA,0.154346667,NA,NA,NA,NA,NA
Hordeum murinum,352.4201333,NA,NA,0.405416667,NA,NA,5.629168831,28.1259188,NA,NA,0.202447143,NA,NA,NA,NA,NA
Hordeum pusillum,NA,NA,NA,0.36576,NA,NA,7.225039453,32.4,NA,0.2032,NA,NA,NA,NA,NA,NA
Hydrocotyle bonariensis,NA,NA,NA,NA,NA,NA,1.3,27.35005333,NA,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle foveolata,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylocomium splendens,NA,NA,8,0.05,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA
Hypericum perforatum,147.3333333,NA,NA,0.544316667,NA,NA,0.161588095,26.51128282,0.132375,NA,0.280170635,NA,NA,NA,NA,NA
Hypochaeris glabra,1154.642857,NA,NA,0.301666667,NA,NA,0.686995,40.145,NA,NA,0.09884125,NA,NA,NA,NA,NA
Hypochaeris radicata,1797.333194,NA,17.75,0.3505,NA,NA,0.765818694,28.74506187,0.35455,NA,0.116,NA,NA,NA,NA,NA
Hypolaena fastigiata,NA,NA,5.5,NA,NA,NA,5.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypoxis filiformis,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indigofera hilaris,NA,NA,NA,NA,NA,NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isoetopsis graminifolia,29.4503,NA,NA,0.045,NA,NA,0.9,14.44850259,NA,NA,NA,NA,NA,NA,NA,NA
Jacobaea vulgaris,7365,NA,18.1084,1,NA,5.92241,0.281000104,26.66024961,0.300166667,NA,0.128461111,NA,NA,NA,NA,NA
Juncus bufonius,80.5,NA,30.38,0.3274,NA,NA,0.01913475,16.59282222,NA,0.1524,0.1365,NA,NA,NA,NA,NA
Juncus effusus,1989.785627,448.9884892,12.64837681,1.1116225,NA,NA,0.018735185,8.991914828,3,0.6096,0.270228,NA,1714.746667,NA,NA,NA
Juncus marginatus,NA,NA,NA,0.8382,NA,NA,0.00375,NA,NA,0.2794,NA,NA,NA,NA,NA,NA
Juncus squarrosus,67.58333333,467.3775,12.367,0.224166667,NA,NA,0.07830625,5.87,NA,NA,0.396576667,NA,NA,NA,NA,NA
Juniperus communis,NA,526.7493127,11.83275055,4.953888889,NA,NA,21.05025929,10.53507223,0.483744444,0.3556,0.48005204,NA,NA,NA,494.9526948,8.651667113
Juniperus phoenicea,NA,518.9,8.407,NA,NA,NA,370.37,5.437737901,NA,NA,NA,NA,NA,NA,NA,NA
Knautia arvensis,2871.333333,457.0063889,24.60384722,0.559111111,NA,NA,3.964347531,18.38055602,NA,NA,0.183666667,NA,NA,NA,NA,NA
Koeleria macrantha,454,NA,18.65678663,0.27044897,NA,NA,0.342253971,13.57425332,0.258,0.508,0.356827816,NA,NA,NA,NA,NA
Kohautia amatymbica,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krascheninnikovia lanata,NA,NA,24.4,0.4572,NA,NA,3.51127322,NA,NA,0.3048,NA,NA,NA,NA,NA,NA
Lactuca serriola,5993,NA,NA,0.9375,NA,NA,0.475959259,15.61873652,NA,NA,0.186968332,NA,NA,NA,NA,NA
Lactuca tatarica,1329.333333,NA,22.6,0.625,NA,NA,0.91,18.07666667,NA,NA,0.160723333,NA,NA,NA,NA,NA
Lagenophora stipitata,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larrea divaricata,NA,NA,22.9,NA,NA,NA,2.4,5.881206897,0.254484167,NA,NA,NA,NA,NA,NA,NA
Larrea tridentata,NA,NA,20.22556818,NA,NA,NA,6.9196,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lathyrus ochroleucus,NA,NA,32.9,NA,NA,NA,16.644,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lathyrus pratensis,158.3333333,498.0770836,39.68831026,0.475733333,NA,25.11541,12.83755633,24.99129113,0.204,NA,0.273666667,NA,NA,NA,NA,NA
Lathyrus sphaericus,NA,NA,NA,NA,NA,NA,16.661,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lathyrus venosus,1858.460121,462.118,30.13845455,0.333666667,NA,NA,35.13,18.46365493,NA,NA,NA,NA,NA,NA,NA,NA
Lechea mucronata,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lechea san-sabeana,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leersia hexandra,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leontodon hispidus,1590.076429,430.9851277,23.92644618,0.371,NA,NA,1.005874872,27.0408515,0.1995,NA,0.150660896,NA,NA,NA,NA,NA
Lepidium densiflorum,156,NA,17.62938592,0.3625,NA,NA,0.545666667,60.085,NA,NA,0.13515,NA,NA,NA,NA,NA
Lepidosperma carphoides,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lespedeza capitata,461.6101627,471.2545,19.09948702,0.693334603,NA,NA,2.482396512,12.45020289,NA,0.4572,0.358850493,NA,NA,NA,NA,NA
Lespedeza hirta,NA,NA,NA,1.8288,NA,NA,3.015330573,NA,NA,0.2286,NA,NA,NA,NA,NA,NA
Leucanthemopsis alpina,NA,NA,NA,0.035,NA,NA,0.37,15.775,NA,NA,NA,NA,NA,NA,NA,NA
Leucanthemum vulgare,437.3333333,437.6016277,30.26796208,0.53192,NA,NA,0.855828551,17.80983272,0.19,0.2032,0.162361988,NA,NA,NA,NA,NA
