,leafN,height,rootN,SLA,root_depth,RTD,SRL,root_diam
Leontodon_hispidus,23.92644618,0.371,11.53789754,27.0408515,0.3,0.134462153,204.9072943,0.273284146
Lepidosperma_carphoides,5.7,0.5,8.367295985,2.685549,0.28,0.322287558,186.1073973,0.430792828
Lepidosperma_congestum,7.598257576,0.5,8.22535497,2.737,0.303459219,0.322791941,176.2830493,0.427364331
Lespedeza_capitata,19.09948702,0.842,31.172408,12.45020289,0.4572,0.228401178,79.00332954,0.333275
Leucanthemum_vulgare,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427
Liatris_aspera,12.33641253,0.68,20.498833,17.00092904,0.548632841,0.135313282,193.6403191,0.335858333
Liatris_punctata,16.817,0.6096,19.38395584,9.8333502,0.3556,0.16753096,118.8077502,0.3044
Liatris_squarrosa,22.06384,0.4548,19.23698647,16.33650548,0.67,0.128228564,119.6990796,0.29674491
Ligusticum_mutellina,21.8,0.28,10.09081324,24.9616,0.68,0.204711905,188.8780939,0.533735791
Linum_bienne,27.53,0.375,14.82624006,26.60625,0.291340501,0.330776417,119.3862143,1.011441668
Linum_catharticum,20.2751018,0.184833333,15.91837728,29.89038332,0.18,0.3081,160,1.190476
Linum_medium,23.59012265,0.328,15.08919366,22.57688088,0.3308806,0.361578154,137.7325439,1.001080672
Linum_sulcatum,23.47955801,0.280539112,15.09598618,17.12,0.351979281,0.40632669,135.1252195,0.98031382
Lithospermum_canescens,18.9752,0.282,12.18535777,14.43083537,3.012125523,0.351032181,170.6198797,0.347079643
