,site_code,Taxon,mean.drt.cover.yr1,mean.drt.cover.yr2,diff.drt.trt,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group,precip,site.id
214,ebro.es,GYPSOPHILA STRUTHIUM,2.835730333,5.02656,2.190829667,16.70948548,0.6,NA,4.877171445,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,385,22
178,ciempoz.es,GYPSOPHILA STRUTHIUM,8.034,6.474,-1.56,16.70948548,0.6,NA,4.877171445,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,363.6,17
217,ebro.es,HELIANTHEMUM MARIFOLIUM,1.185808556,0.788599778,-0.397208778,NA,0.3,NA,7.659559676,0.28,NA,NA,NA,SHRUB,PERENNIAL,WOODY,385,22
211,ebro.es,HELIANTHEMUM SQUAMATUM,0.371756,0.36652,-0.005236,13.91070827,0.2,NA,5.358237548,0.65,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,385,22
177,ciempoz.es,HELIANTHEMUM SQUAMATUM,1.514166667,1.31,-0.204166667,13.91070827,0.2,NA,5.358237548,0.65,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,363.6,17
220,ebro.es,HELICHRYSUM STOECHAS,0.2258025,0.248273667,0.022471167,15.1,0.4,NA,14.05029913,0.52,0.652701216,6.114890701,0.49195,SHRUB,BOTH,WOODY,385,22
501,pineta.es,HEPATICA NOBILIS,3,1.75,-1.25,24,NA,NA,27.165,NA,NA,NA,NA,FORB,PERENNIAL,FORB,1356.602,52
210,ebro.es,JUNIPERUS PHOENICEA,0.623084,0.456404667,-0.166679334,8.407,NA,NA,5.437737901,2.5,0.625121324,8.033595128,0.5192,SHRUB,PERENNIAL,WOODY,385,22
175,ciempoz.es,LEPIDIUM SUBULATUM,12.93785714,12.90428571,-0.033571426,19.94806715,0.3,NA,6.508870465,0.74,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,363.6,17
361,lygraint.no,LYSIMACHIA EUROPAEA,1,1,0,32.8,0.09,NA,51,NA,NA,NA,NA,FORB,PERENNIAL,FORB,2234,40
387,lygraold.no,MOLINIA CAERULEA,1.5,7.333333333,5.833333333,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,GRASS,PERENNIAL,GRASS,2234,41
372,lygraint.no,MOLINIA CAERULEA,6,1,-5,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,GRASS,PERENNIAL,GRASS,2234,40
384,lygraold.no,NARTHECIUM OSSIFRAGUM,3,2,-1,24.7,0.2325,NA,24.15,0.22,NA,NA,NA,FORB,PERENNIAL,FORB,2234,41
490,pineta.es,NEOTTIA OVATA,1.75,1.333333333,-0.416666667,NA,0.32,NA,30.18571429,NA,NA,NA,NA,FORB,PERENNIAL,FORB,1356.602,52
364,lygraint.no,PEDICULARIS SYLVATICA,1,1,0,NA,0.161666667,24.01,11.55,NA,NA,NA,NA,FORB,"BIENNIAL, PERENNIAL",FORB,2234,40
373,lygraint.no,POTENTILLA ERECTA,2.333333333,2.666666667,0.333333334,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,FORB,PERENNIAL,FORB,2234,40
381,lygraold.no,POTENTILLA ERECTA,3,8,5,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,FORB,PERENNIAL,FORB,2234,41
489,pineta.es,POTENTILLA ERECTA,3,3,0,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,FORB,PERENNIAL,FORB,1356.602,52
260,ethadb.au,PTILOTUS POLYSTACHYUS,21,0.1,-20.9,23.98,1,NA,9.6,NA,NA,37,NA,FORB,BOTH,FORB,193,25
561,yarradrt.au,SETARIA PARVIFLORA,3.333333333,2.04,-1.293333333,17.972,0.316785714,NA,26.31,NA,0.14029,NA,0.045,NULL,PERENNIAL,GRASS,800,62
389,lygraold.no,SORBUS AUCUPARIA,2,1,-1,22.42468397,12.84846655,10.49866006,18.97387301,0.7112,0.252348857,120.9392604,1.3965,TREE,PERENNIAL,WOODY,2234,41
216,ebro.es,THYMELAEA TINCTORIA,3.45576,3.409508667,-0.046251333,NA,0.038,NA,7.45,1.46,NA,NA,NA,SHRUB,PERENNIAL,WOODY,385,22
370,lygraint.no,TRICHOPHORUM CESPITOSUM,11,9.5,-1.5,15.3,0.4,4.4,3.79,0.1,0.199,35.47,0.425,GRAMINOID,PERENNIAL,GRAMINOID,2234,40
391,lygraold.no,TRICHOPHORUM CESPITOSUM,12.5,6,-6.5,15.3,0.4,4.4,3.79,0.1,0.199,35.47,0.425,GRAMINOID,PERENNIAL,GRAMINOID,2234,41
385,lygraold.no,TRIENTALIS EUROPEA,1,1,0,NA,NA,NA,47.591,NA,NA,NA,NA,FORB,PERENNIAL,FORB,2234,41
376,lygraint.no,VACCINIUM MYRTILLUS,2,4,2,18.74819405,0.386262821,5.5077,20.04821764,0.23575,0.094987,7,0.35,SUBSHRUB,PERENNIAL,WOODY,2234,40
378,lygraold.no,VACCINIUM MYRTILLUS,15,10,-5,18.74819405,0.386262821,5.5077,20.04821764,0.23575,0.094987,7,0.35,SUBSHRUB,PERENNIAL,WOODY,2234,41
363,lygraint.no,VACCINIUM ULIGINOSUM,1,1,0,19.4998079,0.470266667,4.2,13.90672208,0.2274,0.1278406,162.5,0.124,SUBSHRUB,PERENNIAL,WOODY,2234,40
390,lygraold.no,VACCINIUM ULIGINOSUM,3.5,2,-1.5,19.4998079,0.470266667,4.2,13.90672208,0.2274,0.1278406,162.5,0.124,SUBSHRUB,PERENNIAL,WOODY,2234,41
367,lygraint.no,VACCINIUM VITIS-IDAEA,7,7,0,10.93425771,0.231449383,6.33333,9.170438572,0.2024,NA,NA,1.25,SUBSHRUB,PERENNIAL,WOODY,2234,40
380,lygraold.no,VACCINIUM VITIS-IDAEA,10.33333333,9,-1.33333333,10.93425771,0.231449383,6.33333,9.170438572,0.2024,NA,NA,1.25,SUBSHRUB,PERENNIAL,WOODY,2234,41
465,paike.ar,ACAENA PINNATIFIDA,1,1,0,NA,0.025,NA,9.38,NA,NA,NA,NA,FORB,PERENNIAL,FORB,202,50
52,allmendo.ch,ACHILLEA MILLEFOLIUM,0.75,1.25,0.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,957,2
