Taxon,site_code,site_name,Family,local_lifeform,local_lifespan,functional_group
ACHILLEA MILLEFOLIUM,allmendo.ch,Allmend Ovina,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,baddrt.de,Bad Drought,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,bayrdrt.de,Bayreuth_DroughtNet,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,brookdale.ca,Brookdale,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,cedartrait.us,Cedar Creek Trait ,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,cmss.us,CMSS,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,cowidrt.ca,Cowichan Drt,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,elvadrt.ee,EE Elva,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,hard.us,Hardware Ranch,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,jenadrt.de,Jena,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,kernb.ca,Kernen_burned,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,kernnu.ca,Kernen_unburned,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,kinsella.ca,Kinsella,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,matador.ca,Matador,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,oklah.us,Oklahoma (KAEFS-OK),Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,oreac.us,ORE IDE AC,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,rhijn.nl,Rhijnauwen,Compositae,FORB,PERENNIAL,FORB
ACHILLEA MILLEFOLIUM,scruzl.us,SantaCruzLow,Compositae,FORB,PERENNIAL,FORB
ACHYRANTHES ASPERA,ukulingadrt.za,Ukulinga Drought,Amaranthaceae,FORB,PERENNIAL,FORB
ACLEISANTHES CHENOPODIOIDES,jrnchi.us,JRN_Chihuahuan,Nyctaginaceae,FORB,PERENNIAL,FORB
ACMELLA DECUMBENS,chilcasdrt.ar,Las Chilcas Drt,Compositae,FORB,PERENNIAL,FORB
ACMELLA DECUMBENS,marcdrt.ar,Mar Chiquita Drt,Compositae,FORB,PERENNIAL,FORB
ACMELLA DECUMBENS,sclaudio.ar,San Claudio,Compositae,FORB,PERENNIAL,FORB
ACMISPON AMERICANUS,oreac.us,ORE IDE AC,Fabaceae,FORB,ANNUAL,LEGUME
ACMISPON AMERICANUS,scruzh.us,SantaCruzHigh,Fabaceae,FORB,ANNUAL,LEGUME
ACMISPON BRACHYCARPUS,capmcd.us,Cap Mcdowell,Fabaceae,LEGUME,ANNUAL,LEGUME
ACMISPON BRACHYCARPUS,capwhite.us,Cap Whitetank,Fabaceae,LEGUME,ANNUAL,LEGUME
ACMISPON MARITIMUS,capmcd.us,Cap Mcdowell,Fabaceae,LEGUME,ANNUAL,LEGUME
ACMISPON MARITIMUS,capwhite.us,Cap Whitetank,Fabaceae,LEGUME,ANNUAL,LEGUME
ACMISPON PARVIFLORUS,cowidrt.ca,Cowichan Drt,Fabaceae,FORB,ANNUAL,LEGUME
ACMISPON STRIGOSUS,gmgranite.us,Gmdrc Granitecove,Fabaceae,FORB,ANNUAL,LEGUME
ACMISPON STRIGOSUS,gmmolar.us,Gmdrc Molar Junction,Fabaceae,FORB,ANNUAL,LEGUME
ACOURTIA NANA,jrnchi.us,JRN_Chihuahuan,Compositae,FORB,PERENNIAL,FORB
ACTINOBOLE ULIGINOSUM,brokenh.au,Broken Hill,Compositae,FORB,ANNUAL,FORB
ACTINOBOLE ULIGINOSUM,cobar.au,Cobar,Compositae,FORB,ANNUAL,FORB
ADESMIA CONFUSA,qdtsouth.cl,Quebrada de Talca South Facing,Fabaceae,FORB,ANNUAL,LEGUME
ADESMIA LOTOIDES,paike.ar,Potrok Aike Drt,Fabaceae,LEGUME,PERENNIAL,LEGUME
ADESMIA TENELLA,qdtnorth.cl,Quebrada de Talca North Facing,Fabaceae,FORB,ANNUAL,LEGUME
ADESMIA TENELLA,qdtsouth.cl,Quebrada de Talca South Facing,Fabaceae,FORB,ANNUAL,LEGUME
AFROASTER HISPIDA,ukulingadrt.za,Ukulinga Drought,Compositae,FORB,PERENNIAL,FORB
AGALINIS HETEROPHYLLA,slp.us,SLP,Orobanchaceae,FORB,ANNUAL,FORB
AGALINIS PURPUREA,bfl.us,BFL,Orobanchaceae,FORB,ANNUAL,FORB
AGASTACHE FOENICULUM,brookdale.ca,Brookdale,Lamiaceae,FORB,PERENNIAL,FORB
AGATHISANTHEMUM CHLOROPHYLLUM,ukulingadrt.za,Ukulinga Drought,Rubiaceae,FORB,PERENNIAL,FORB
AGOSERIS GLAUCA,biddulph.ca,Biddulph,Compositae,FORB,PERENNIAL,FORB
AGOSERIS GLAUCA,kernnu.ca,Kernen_unburned,Compositae,FORB,PERENNIAL,FORB
AGOSERIS GLAUCA,matador.ca,Matador,Compositae,FORB,PERENNIAL,FORB
AGRIMONIA EUPATORIA,allmendb.ch,Allmend Brachy,Rosaceae,FORB,PERENNIAL,FORB
AGRIMONIA EUPATORIA,elvadrt.ee,EE Elva,Rosaceae,FORB,PERENNIAL,FORB
AGRIMONIA EUPATORIA,jenadrt.de,Jena,Rosaceae,FORB,PERENNIAL,FORB
AGRIMONIA EUPATORIA,rhijn.nl,Rhijnauwen,Rosaceae,FORB,PERENNIAL,FORB
AGROPYRON CRISTATUM,nplatte.us,North Platte,Poaceae,GRASS,PERENNIAL,GRASS
AGROSTIS CANINA,lygraint.no,Lygra_intermediate,Poaceae,GRASS,NULL,GRASS
AGROSTIS CANINA,lygraold.no,Lygra_old,Poaceae,GRASS,NULL,GRASS
AGROSTIS CAPILLARIS,bayrdrt.de,Bayreuth_DroughtNet,Poaceae,GRASS,PERENNIAL,GRASS
AGROSTIS CAPILLARIS,lygraint.no,Lygra_intermediate,Poaceae,GRASS,NULL,GRASS
AGROSTIS CAPILLARIS,pineta.es,Pineta,Poaceae,GRASS,NULL,GRASS
AGROSTIS GIGANTEA,rhijn.nl,Rhijnauwen,Poaceae,GRASS,PERENNIAL,GRASS
AGROSTIS INCONSPICUA,paike.ar,Potrok Aike Drt,Poaceae,GRASS,PERENNIAL,GRASS
AGROSTIS MONTEVIDENSIS,marcdrt.ar,Mar Chiquita Drt,Poaceae,FORB,PERENNIAL,GRASS
AGROSTIS RUPESTRIS,passogavia.it,Passo Gavia,Poaceae,GRASS,PERENNIAL,GRASS
AGROSTIS SCABRA,cedartrait.us,Cedar Creek Trait ,Poaceae,GRASS,PERENNIAL,GRASS
AGROSTIS SCABRA,kernb.ca,Kernen_burned,Poaceae,GRAMINOID,PERENNIAL,GRASS
AGROSTIS SCABRA,kernnu.ca,Kernen_unburned,Poaceae,GRAMINOID,PERENNIAL,GRASS
AGROSTIS SCABRA,kinsella.ca,Kinsella,Poaceae,GRASS,PERENNIAL,GRASS
AGROSTIS SCABRA,mattheis.ca,Mattheis,Poaceae,GRASS,PERENNIAL,GRASS
AGROSTIS STOLONIFERA,cedartrait.us,Cedar Creek Trait ,Poaceae,GRASS,PERENNIAL,GRASS
AGROSTIS STOLONIFERA,elvadrt.ee,EE Elva,Poaceae,GRASS,PERENNIAL,GRASS
AGROSTIS VENUSTA,falls.au,Falls Creek,Poaceae,GRASS,PERENNIAL,GRASS
AIRA CARYOPHYLLEA,cowidrt.ca,Cowichan Drt,Poaceae,GRASS,ANNUAL,GRASS
AIRA CARYOPHYLLEA,lcnorth.cl,La Campana North Facing,Poaceae,GRASS,ANNUAL,GRASS
AIRA CARYOPHYLLEA,lcsouth.cl,La Campana South Facing,Poaceae,GRASS,ANNUAL,GRASS
AIRA CARYOPHYLLEA,scruzh.us,SantaCruzHigh,Poaceae,FORB,ANNUAL,GRASS
AIRA ELEGANTISSIMA,jilpanger.au,Jilpanger,Poaceae,GRASS,ANNUAL,GRASS
ALBUCA SETOSA,ukulingadrt.za,Ukulinga Drought,Hyacinthaceae,FORB,PERENNIAL,FORB
ALCHEMILLA IDAEUS,purdue.us,Purdue Wildlife Area,Rosaceae,SHRUB,NULL,WOODY
ALCHEMILLA PENTAPHYLLEA,passogavia.it,Passo Gavia,Rosaceae,FORB,PERENNIAL,FORB
ALKANNA TINCTORIA,kiskun.hu,Kiskunsag,Boraginaceae,FORB,PERENNIAL,FORB
ALLIONIA INCARNATA,cerrillos.ar,Los Cerrillos,Nyctaginaceae,FORB,PERENNIAL,FORB
ALLIONIA INCARNATA,sevblack.us,Sevilleta_Black,Nyctaginaceae,FORB,PERENNIAL,FORB
ALLIUM ACUMINATUM,oreaa.us,ORE IDE AA,Amaryllidaceae,FORB,PERENNIAL,FORB
ALLIUM AMPLECTENS,cowidrt.ca,Cowichan Drt,Amaryllidaceae,FORB,PERENNIAL,FORB
ALLIUM CARINATUM,allmendb.ch,Allmend Brachy,Amaryllidaceae,NULL,NULL,FORB
ALLIUM CERNUUM,brookdale.ca,Brookdale,Amaryllidaceae,FORB,PERENNIAL,FORB
ALLIUM NEAPOLITANUM,chilcasdrt.ar,Las Chilcas Drt,Amaryllidaceae,FORB,PERENNIAL,FORB
ALLIUM TEXTILE,nplatte.us,North Platte,Amaryllidaceae,FORB,PERENNIAL,FORB
ALLIUM VINEALE,rhijn.nl,Rhijnauwen,Amaryllidaceae,FORB,PERENNIAL,FORB
ALLOTEROPSIS CIMICINA,bivensarm.us,Bivens Arm,Poaceae,GRAMINOID,ANNUAL,GRASS
ALOPECURUS PRATENSIS,bayrdrt.de,Bayreuth_DroughtNet,Poaceae,GRASS,PERENNIAL,GRASS
ALOPECURUS PRATENSIS,cowidrt.ca,Cowichan Drt,Poaceae,GRASS,PERENNIAL,GRASS
ALOPECURUS PRATENSIS,elvadrt.ee,EE Elva,Poaceae,GRASS,PERENNIAL,GRASS
ALOPECURUS PRATENSIS,rhijn.nl,Rhijnauwen,Poaceae,GRASS,PERENNIAL,GRASS
ALOPECURUS PRATENSIS,validate.fr,Validate,Poaceae,GRASS,PERENNIAL,GRASS
ALTERNANTHERA SESSILIS,brokenh.au,Broken Hill,Amaranthaceae,FORB,ANNUAL,FORB
ALYSICARPUS OVALIFOLIUS,bivensarm.us,Bivens Arm,Fabaceae,FORB,NULL,LEGUME
ALYSSUM DESERTORUM,nplatte.us,North Platte,Brassicaceae,FORB,ANNUAL,FORB
AMARANTHUS VIRIDIS,bivensarm.us,Bivens Arm,Amaranthaceae,FORB,ANNUAL,FORB
AMBROSIA ARTEMISIIFOLIA,bivensarm.us,Bivens Arm,Compositae,FORB,ANNUAL,FORB
AMBROSIA ARTEMISIIFOLIA,cdpt_drt.us,Cedar Point - Drought-Net,Compositae,FORB,ANNUAL,FORB
AMBROSIA ARTEMISIIFOLIA,cedarsav.us,Cedar Creek Savanna,Compositae,FORB,ANNUAL,FORB
AMBROSIA ARTEMISIIFOLIA,esw.ca,ESW,Compositae,FORB,ANNUAL,FORB
AMBROSIA DELTOIDEA,capmcd.us,Cap Mcdowell,Compositae,FORB,ANNUAL,FORB
AMBROSIA DELTOIDEA,capwhite.us,Cap Whitetank,Compositae,FORB,ANNUAL,FORB
AMBROSIA DUMOSA,nnss.us,NNSS_Mojave,Compositae,SHRUB,PERENNIAL,WOODY
AMBROSIA PSILOSTACHYA,bfl.us,BFL,Compositae,FORB,PERENNIAL,FORB
AMBROSIA PSILOSTACHYA,cedarsav.us,Cedar Creek Savanna,Compositae,FORB,PERENNIAL,FORB
AMBROSIA PSILOSTACHYA,konzadrt.us,Konza Drt,Compositae,FORB,PERENNIAL,FORB
AMBROSIA PSILOSTACHYA,oklah.us,Oklahoma (KAEFS-OK),Compositae,FORB,PERENNIAL,FORB
AMBROSIA PSILOSTACHYA,slp.us,SLP,Compositae,FORB,PERENNIAL,FORB
AMBROSIA TENUIFOLIA,chilcasdrt.ar,Las Chilcas Drt,Compositae,FORB,PERENNIAL,FORB
AMBROSIA TENUIFOLIA,marcdrt.ar,Mar Chiquita Drt,Compositae,FORB,PERENNIAL,FORB
AMELANCHIER ALNIFOLIA,hard.us,Hardware Ranch,Rosaceae,SHRUB,PERENNIAL,WOODY
AMORPHA CANESCENS,cedarsav.us,Cedar Creek Savanna,Fabaceae,FORB,PERENNIAL,LEGUME
AMORPHA CANESCENS,cedartrait.us,Cedar Creek Trait ,Fabaceae,FORB,PERENNIAL,LEGUME
AMORPHA CANESCENS,konzadrt.us,Konza Drt,Fabaceae,SUBSHRUB,PERENNIAL,LEGUME
AMPELOPSIS ARBOREA,bivensarm.us,Bivens Arm,Vitaceae,VINE,PERENNIAL,FORB
AMPHIACHYRIS DRACUNCULOIDES,oklah.us,Oklahoma (KAEFS-OK),Compositae,FORB,ANNUAL,FORB
AMPHICARPAEA BRACTEATA,cedarsav.us,Cedar Creek Savanna,Fabaceae,FORB,ANNUAL,LEGUME
AMSINCKIA MENZIESII,capmcd.us,Cap Mcdowell,Boraginaceae,FORB,ANNUAL,FORB
AMSINCKIA MENZIESII,capwhite.us,Cap Whitetank,Boraginaceae,FORB,NULL,FORB
AMSINCKIA TESSELLATA,capmcd.us,Cap Mcdowell,Boraginaceae,FORB,ANNUAL,FORB
AMSINCKIA TESSELLATA,capwhite.us,Cap Whitetank,Boraginaceae,FORB,NULL,FORB
AMSINCKIA TESSELLATA,gmgranite.us,Gmdrc Granitecove,Boraginaceae,FORB,ANNUAL,FORB
AMSINCKIA TESSELLATA,gmmolar.us,Gmdrc Molar Junction,Boraginaceae,FORB,ANNUAL,FORB
AMSINCKIA TESSELLATA,nnss.us,NNSS_Mojave,Boraginaceae,FORB,ANNUAL,FORB
ANAGALLIS ARVENSIS,bivensarm.us,Bivens Arm,Primulaceae,FORB,ANNUAL,FORB
ANAGALLIS ARVENSIS,jenadrt.de,Jena,Primulaceae,FORB,ANNUAL,FORB
ANAGALLIS ARVENSIS,marcdrt.ar,Mar Chiquita Drt,Primulaceae,FORB,ANNUAL,FORB
ANAGALLIS ARVENSIS,scruzh.us,SantaCruzHigh,Primulaceae,FORB,ANNUAL,FORB
ANAGALLIS ARVENSIS,scruzm.us,SantaCruzMiddle,Primulaceae,FORB,ANNUAL,FORB
ANDROPOGON BRACHYSTACHYUS,bivensarm.us,Bivens Arm,Poaceae,GRAMINOID,PERENNIAL,GRASS
ANDROPOGON GERARDII,brookdale.ca,Brookdale,Poaceae,GRASS,PERENNIAL,GRASS
ANDROPOGON GERARDII,cedarsav.us,Cedar Creek Savanna,Poaceae,GRASS,PERENNIAL,GRASS
ANDROPOGON GERARDII,cedartrait.us,Cedar Creek Trait ,Poaceae,GRASS,PERENNIAL,GRASS
ANDROPOGON GERARDII,konzadrt.us,Konza Drt,Poaceae,GRASS,PERENNIAL,GRASS
ANDROPOGON GERARDII,purdue.us,Purdue Wildlife Area,Poaceae,GRASS,NULL,GRASS
ANDROPOGON GLOMERATUS,bfl.us,BFL,Poaceae,GRASS,NULL,GRASS
ANDROPOGON GLOMERATUS,slp.us,SLP,Poaceae,GRASS,NULL,GRASS
ANDROPOGON LATERALIS,eea.br,EEA,Poaceae,GRASS,NULL,GRASS
ANDROPOGON VIRGINICUS,bivensarm.us,Bivens Arm,Poaceae,GRAMINOID,PERENNIAL,GRASS
ANDROPOGON VIRGINICUS,oklah.us,Oklahoma (KAEFS-OK),Poaceae,GRASS,PERENNIAL,GRASS
ANDROPOGON VIRGINICUS,sand.us,Sandhills,Poaceae,GRAMINOID,PERENNIAL,GRASS
ANDROSACE SEPTENTRIONALIS,biddulph.ca,Biddulph,Primulaceae,FORB,ANNUAL,FORB
ANDROSACE SEPTENTRIONALIS,kernb.ca,Kernen_burned,Primulaceae,FORB,ANNUAL,FORB
ANDROSACE SEPTENTRIONALIS,kernnu.ca,Kernen_unburned,Primulaceae,FORB,ANNUAL,FORB
ANDROSACE SEPTENTRIONALIS,matador.ca,Matador,Primulaceae,FORB,ANNUAL,FORB
ANDROSACE SEPTENTRIONALIS,mattheis.ca,Mattheis,Primulaceae,FORB,ANNUAL,FORB
ANEMONASTRUM CANADENSE,brookdale.ca,Brookdale,Ranunculaceae,FORB,PERENNIAL,FORB
ANEMONE CAROLINIANA,oklah.us,Oklahoma (KAEFS-OK),Ranunculaceae,FORB,PERENNIAL,FORB
ANEMONE CYLINDRICA,cedarsav.us,Cedar Creek Savanna,Ranunculaceae,FORB,PERENNIAL,FORB
ANEMONE PATENS,kernb.ca,Kernen_burned,Ranunculaceae,FORB,PERENNIAL,FORB
ANEMONE PATENS,kinsella.ca,Kinsella,Ranunculaceae,FORB,PERENNIAL,FORB
ANTENNARIA CHILENSIS,lcnorth.cl,La Campana North Facing,Compositae,FORB,PERENNIAL,FORB
ANTENNARIA CHILENSIS,lcsouth.cl,La Campana South Facing,Compositae,FORB,PERENNIAL,FORB
ANTENNARIA MEDIA,cmss.us,CMSS,Compositae,FORB,PERENNIAL,FORB
ANTENNARIA NEGLECTA,konzadrt.us,Konza Drt,Compositae,FORB,PERENNIAL,FORB
ANTHOXANTHUM ODORATUM,bayrdrt.de,Bayreuth_DroughtNet,Poaceae,GRASS,PERENNIAL,GRASS
ANTHOXANTHUM ODORATUM,cowidrt.ca,Cowichan Drt,Poaceae,GRASS,PERENNIAL,GRASS
ANTHOXANTHUM ODORATUM,elvadrt.ee,EE Elva,Poaceae,GRASS,PERENNIAL,GRASS
ANTHOXANTHUM ODORATUM,lygraint.no,Lygra_intermediate,Poaceae,GRASS,NULL,GRASS
ANTHOXANTHUM ODORATUM,passogavia.it,Passo Gavia,Poaceae,GRASS,PERENNIAL,GRASS
ANTHOXANTHUM ODORATUM,rhijn.nl,Rhijnauwen,Poaceae,GRASS,PERENNIAL,GRASS
ANTHOXANTHUM ODORATUM,teshio.jp,Teshio Experimental Grassland,Poaceae,GRASS,PERENNIAL,GRASS
ANTHRISCUS SYLVESTRIS,elvadrt.ee,EE Elva,Apiaceae,FORB,PERENNIAL,FORB
ANTHRISCUS SYLVESTRIS,rhijn.nl,Rhijnauwen,Apiaceae,FORB,PERENNIAL,FORB
ANTHYLLIS VULNERARIA,allmendb.ch,Allmend Brachy,Fabaceae,FORB,PERENNIAL,LEGUME
ANTHYLLIS VULNERARIA,allmendo.ch,Allmend Ovina,Fabaceae,FORB,PERENNIAL,LEGUME
APERA SPICA-VENTI,baddrt.de,Bad Drought,Poaceae,GRASS,ANNUAL,GRASS
APHANES ARVENSIS,jenadrt.de,Jena,Rosaceae,FORB,ANNUAL,FORB
APHELIA PUMILIO,jilpanger.au,Jilpanger,Centrolepidaceae,FORB,ANNUAL,FORB
APHYLLANTHES MONSPELIENSIS,ayora.es,Ayora Experimental Station,Asparagaceae,FORB,PERENNIAL,FORB
APOCYNUM CANNABINUM,purdue.us,Purdue Wildlife Area,Apocynaceae,FORB,NULL,FORB
AQUILEGIA CANADENSIS,cedarsav.us,Cedar Creek Savanna,Ranunculaceae,FORB,PERENNIAL,FORB
ARENARIA SERPYLLIFOLIA,jenadrt.de,Jena,Caryophyllaceae,FORB,NULL,FORB
ARENARIA SERPYLLIFOLIA,kiskun.hu,Kiskunsag,Caryophyllaceae,FORB,ANNUAL,FORB
ARGYLIA RADIATA,qdtnorth.cl,Quebrada de Talca North Facing,Bignoniaceae,FORB,PERENNIAL,FORB
ARGYROLOBIUM ZANONII,ayora.es,Ayora Experimental Station,Fabaceae,SUBSHRUB,PERENNIAL,LEGUME
ARISTIDA CONTORTA,cobar.au,Cobar,Poaceae,GRASS,NULL,GRASS
ARISTIDA CONTORTA,credom.au,CredoM,Poaceae,GRASS,PERENNIAL,GRASS
ARISTIDA HOLATHERA,ethadb.au,Ethabuka_DNB,Poaceae,GRASS,ANNUAL,GRASS
ARISTIDA HOLATHERA,ethadn.au,Ethabuka_DNU,Poaceae,GRASS,ANNUAL,GRASS
ARISTIDA JUNCIFORMIS,ukulingadrt.za,Ukulinga Drought,Poaceae,GRASS,PERENNIAL,GRASS
ARISTIDA LONGESPICA,slp.us,SLP,Poaceae,GRASS,PERENNIAL,GRASS
ARISTIDA MENDOCINA,cerrillos.ar,Los Cerrillos,Poaceae,GRASS,PERENNIAL,GRASS
ARISTIDA MENDOCINA,morient.ar,Monte Oriental,Poaceae,GRASS,PERENNIAL,GRASS
ARISTIDA PURPUREA,bfl.us,BFL,Poaceae,GRASS,PERENNIAL,GRASS
ARISTIDA PURPUREA,cdpt_drt.us,Cedar Point - Drought-Net,Poaceae,GRASS,PERENNIAL,GRASS
ARISTIDA PURPUREA,jorndrt.us,Jornada_LTER Drt,Poaceae,GRASS,PERENNIAL,GRASS
ARISTIDA PURPUREA,jrnchi.us,JRN_Chihuahuan,Poaceae,GRASS,PERENNIAL,GRASS
ARISTIDA SETIFOLIA,guaribas.br,Guaribas,Poaceae,GRAMINOID,NULL,GRASS
ARISTIDA SPEGAZZINII,naposta.ar,Naposta,Poaceae,GRASS,PERENNIAL,GRASS
ARISTIDA STRICTA,bivensarm.us,Bivens Arm,Poaceae,GRAMINOID,PERENNIAL,GRASS
ARISTIDA STRICTA,sand.us,Sandhills,Poaceae,GRASS,PERENNIAL,GRASS
ARISTIDA VENUSTULA,eea.br,EEA,Poaceae,GRASS,NULL,GRASS
ARISTOLOCHIA CHILENSIS,lcnorth.cl,La Campana North Facing,Aristolochiaceae,FORB,PERENNIAL,FORB
ARISTOLOCHIA CHILENSIS,qdtnorth.cl,Quebrada de Talca North Facing,Aristolochiaceae,FORB,PERENNIAL,FORB
ARJONA TUBEROSA,paike.ar,Potrok Aike Drt,Schoepfiaceae,FORB,PERENNIAL,FORB
ARMERIA MARITIMA,paike.ar,Potrok Aike Drt,Plumbaginaceae,FORB,PERENNIAL,FORB
ARNICA CORDIFOLIA,brookdale.ca,Brookdale,Compositae,FORB,PERENNIAL,FORB
ARRHENATHERUM ELATIUS,bayrdrt.de,Bayreuth_DroughtNet,Poaceae,GRASS,PERENNIAL,GRASS
ARRHENATHERUM ELATIUS,jenadrt.de,Jena,Poaceae,FORB,PERENNIAL,GRASS
ARRHENATHERUM ELATIUS,rhijn.nl,Rhijnauwen,Poaceae,GRASS,PERENNIAL,GRASS
ARRHENATHERUM ELATIUS,validate.fr,Validate,Poaceae,GRASS,PERENNIAL,GRASS
ARTEMISIA ABSINTHIUM,kernb.ca,Kernen_burned,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA ARBUSCULA,oreaa.us,ORE IDE AA,Compositae,SHRUB,PERENNIAL,WOODY
ARTEMISIA ARBUSCULA,oreac.us,ORE IDE AC,Compositae,SHRUB,PERENNIAL,WOODY
ARTEMISIA CAMPESTRIS,biddulph.ca,Biddulph,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA CAMPESTRIS,kiskun.hu,Kiskunsag,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA CANA,oreac.us,ORE IDE AC,Compositae,SHRUB,PERENNIAL,WOODY
ARTEMISIA FILIFOLIA,cdpt_drt.us,Cedar Point - Drought-Net,Compositae,WOODY,PERENNIAL,WOODY
ARTEMISIA FRIGIDA,biddulph.ca,Biddulph,Compositae,FORB,PERENNIAL,WOODY
ARTEMISIA FRIGIDA,cdpt_drt.us,Cedar Point - Drought-Net,Compositae,FORB,PERENNIAL,WOODY
ARTEMISIA FRIGIDA,kernb.ca,Kernen_burned,Compositae,FORB,PERENNIAL,WOODY
ARTEMISIA FRIGIDA,kernnu.ca,Kernen_unburned,Compositae,FORB,PERENNIAL,WOODY
ARTEMISIA FRIGIDA,kinsella.ca,Kinsella,Compositae,SUBSHRUB,PERENNIAL,WOODY
ARTEMISIA FRIGIDA,matador.ca,Matador,Compositae,FORB,PERENNIAL,WOODY
ARTEMISIA FRIGIDA,mattheis.ca,Mattheis,Compositae,SUBSHRUB,PERENNIAL,WOODY
ARTEMISIA FRIGIDA,nplatte.us,North Platte,Compositae,SHRUB,PERENNIAL,WOODY
ARTEMISIA INDICA,teshio.jp,Teshio Experimental Grassland,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA LUDOVICIANA,biddulph.ca,Biddulph,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA LUDOVICIANA,brookdale.ca,Brookdale,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA LUDOVICIANA,cedarsav.us,Cedar Creek Savanna,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA LUDOVICIANA,kernb.ca,Kernen_burned,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA LUDOVICIANA,kernnu.ca,Kernen_unburned,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA LUDOVICIANA,konzadrt.us,Konza Drt,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA MONGOLICA,chang.cn,Changling,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA NOVA,hard.us,Hardware Ranch,Compositae,SHRUB,PERENNIAL,WOODY
ARTEMISIA SCOPARIA,chang.cn,Changling,Compositae,FORB,PERENNIAL,FORB
ARTEMISIA TRIDENTATA,cmss.us,CMSS,Compositae,SHRUB,PERENNIAL,WOODY
ARTEMISIA TRIDENTATA,hard.us,Hardware Ranch,Compositae,SHRUB,PERENNIAL,WOODY
ARTEMISIA TRIDENTATA,nplatte.us,North Platte,Compositae,SHRUB,PERENNIAL,WOODY
