,Taxon,X,site_code,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group,site.id
203,CERASTIUM ARVENSE,3535,kernb.ca,1,5,2.5,2.5,1.25,-2.5,-1.25,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,42
204,CERASTIUM ARVENSE,864,biddulph.ca,1,0,0,2,2,2,2,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,8
205,CERASTIUM ARVENSE,3653,kernnu.ca,1,0.5,0.5,1.5,0.75,1,0.25,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,43
206,CERASTIUM ARVENSE,2132,cowidrt.ca,1,2,2,3,1.5,1,-0.5,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,23
207,CERASTIUM ARVENSE,4421,matador.ca,1,7,3.5,1.5,0.75,-5.5,-2.75,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,51
208,CERASTIUM ARVENSE,2034,cmss.us,1,4,2,10,5,6,3,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,21
209,CERASTIUM ARVENSE,5143,paike.ar,1,2,1,1,1,-1,0,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,FORB,PERENNIAL,FORB,61
45,AMORPHA CANESCENS,1541,cedarsav.us,1,7,2.333333333,27,6.75,20,4.416666667,22.25861206,0.446,27.18327333,13.80561828,0.508,0.59,45.95532256,0.19,FORB,PERENNIAL,LEGUME,14
554,PANICUM CAPILLARE,3940,konzadrt.us,1,18,9,3,1.5,-15,-7.5,17.0314031,0.43545,NA,27.43942379,0.62,0.14,218,0.1917,GRASS,ANNUAL,GRASS,46
113,BOUTELOUA GRACILIS,4489,mattheis.ca,1,125,25,130,26,5,1,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,GRASS,PERENNIAL,GRASS,52
114,BOUTELOUA GRACILIS,4658,nplatte.us,1,53,7.571428571,104,20.8,51,13.22857143,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,GRASS,PERENNIAL,GRASS,56
115,BOUTELOUA GRACILIS,1648,cedartrait.us,1,0,0,8,8,8,8,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,GRASS,PERENNIAL,GRASS,15
116,BOUTELOUA GRACILIS,1506,cdpt_drt.us,1,90,15,77,12.83333333,-13,-2.166666667,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,GRASS,PERENNIAL,GRASS,13
607,POA PRATENSIS,6323,validate.fr,1,109,21.8,69,13.8,-40,-8,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS,79
608,POA PRATENSIS,3691,kernnu.ca,1,10,10,5,5,-5,-5,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS,43
609,POA PRATENSIS,1600,cedarsav.us,1,54,5.4,28,5.6,-26,0.2,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS,14
610,POA PRATENSIS,3576,kernb.ca,1,68,22.66666667,55,18.33333333,-13,-4.333333333,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS,42
611,POA PRATENSIS,3302,jenadrt.de,1,45,15,27,9,-18,-6,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS,38
612,POA PRATENSIS,3778,kinsella.ca,1,315,63,260,52,-55,-11,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS,44
613,POA PRATENSIS,1347,brookdale.ca,1,32.75,6.55,31.25,6.25,-1.5,-0.3,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS,10
614,POA PRATENSIS,2201,cowidrt.ca,1,19,3.8,14,2.8,-5,-1,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS,23
615,POA PRATENSIS,1698,cedartrait.us,1,33,4.125,13,2.6,-20,-1.525,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS,15
616,POA PRATENSIS,675,bayrdrt.de,1,25,8.333333333,33,6.6,8,-1.733333333,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS,6
617,POA PRATENSIS,4465,matador.ca,1,0,0,0.5,0.5,0.5,0.5,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS,51
96,ASTRAGALUS NUTTALLIANUS,1404,capmcd.us,1,2,1,1.5,0.75,-0.5,-0.25,NA,NA,NA,20.29476228,0.13,NA,9.530497,0.2,LEGUME,ANNUAL,LEGUME,11
97,ASTRAGALUS NUTTALLIANUS,1462,capwhite.us,1,1,0.5,1.5,0.75,0.5,0.25,NA,NA,NA,20.29476228,0.13,NA,9.530497,0.2,LEGUME,ANNUAL,LEGUME,12
697,SCHIZACHYRIUM SCOPARIUM,1706,cedartrait.us,1,91,10.11111111,18,6,-73,-4.111111111,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,GRASS,PERENNIAL,GRASS,15
698,SCHIZACHYRIUM SCOPARIUM,4842,oklah.us,1,207.5,69.16666667,162.5,54.16666667,-45,-15,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,GRASS,PERENNIAL,GRASS,58
699,SCHIZACHYRIUM SCOPARIUM,834,bfl.us,1,18,9,6,6,-12,-3,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,GRASS,PERENNIAL,GRASS,7
700,SCHIZACHYRIUM SCOPARIUM,1613,cedarsav.us,1,165,20.625,85,17,-80,-3.625,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,GRASS,PERENNIAL,GRASS,14
701,SCHIZACHYRIUM SCOPARIUM,5661,sand.us,1,28,14,27,9,-1,-5,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,GRASS,PERENNIAL,GRASS,67
759,STIPA COMATA,917,biddulph.ca,1,25,12.5,29,14.5,4,2,20.1,0.9144,15.9,16.95,0.4064,0.49068467,79.18825345,0.2,GRAMINOID,PERENNIAL,GRASS,8
760,STIPA COMATA,3789,kinsella.ca,1,30,15,23,5.75,-7,-9.25,20.1,0.9144,15.9,16.95,0.4064,0.49068467,79.18825345,0.2,GRAMINOID,PERENNIAL,GRASS,44
133,BROMUS HORDEACEUS,440,baddrt.de,1,1.1,0.55,0.02,0.01,-1.08,-0.54,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,GRASS,ANNUAL,GRASS,5
134,BROMUS HORDEACEUS,5724,scruzh.us,1,5.2691476,2.6345738,5.5385661,2.76928305,0.2694185,0.13470925,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,GRASS,ANNUAL,GRASS,69
135,BROMUS HORDEACEUS,3193,jenadrt.de,1,0,0,0.5,0.5,0.5,0.5,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,GRASS,ANNUAL,GRASS,38
272,DESCHAMPSIA CESPITOSA,5158,paike.ar,1,1,1,3,1,2,0,19.38145224,0.623466667,9.504294333,15.38069921,1.23,0.170736151,364.9892355,0.206048414,GRASS,PERENNIAL,GRASS,61
844,VICIA HIRSUTA,2237,cowidrt.ca,1,9,1.8,9,2.25,0,0.45,43.2098,0.4375,28.02801,22.05714286,0.66,0.3375,87.90712843,0.2074,FORB,ANNUAL,LEGUME,23
61,ARENARIA SERPYLLIFOLIA,3810,kiskun.hu,1,0.02,0.01,0.02,0.01,0,0,12,0.075,13.275,23.7,0.21,0.067,NA,0.207422972,FORB,ANNUAL,FORB,45
62,ARENARIA SERPYLLIFOLIA,3176,jenadrt.de,1,1.5,0.5,1.5,0.5,0,0,12,0.075,13.275,23.7,0.21,0.067,NA,0.207422972,FORB,ANNUAL,FORB,38
27,AGROSTIS SCABRA,3499,kernb.ca,1,9,3,4,1.333333333,-5,-1.666666667,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,GRASS,PERENNIAL,GRASS,42
28,AGROSTIS SCABRA,4482,mattheis.ca,1,5,5,3,3,-2,-2,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,GRASS,PERENNIAL,GRASS,52
334,EUPHORBIA DENTATA,4780,oklah.us,1,0.5,0.5,0.5,0.5,0,0,NA,NA,NA,30,NA,0.28,NA,0.21,FORB,ANNUAL,FORB,58
30,AIRA CARYOPHYLLEA,5697,scruzh.us,1,0,0,2.2727273,2.2727273,2.2727273,2.2727273,19.9,0.155,NA,21.08,NA,NA,NA,0.21,GRASS,ANNUAL,GRASS,69
387,GLECHOMA HEDERACEA,3263,jenadrt.de,1,8,8,12,12,4,4,13.09,0.1,15.84806833,21.32,0.14,0.104315255,419.5272801,0.213838095,FORB,PERENNIAL,FORB,38
353,FESTUCA PRATENSIS,2588,elvadrt.ee,1,20,6.666666667,22,7.333333333,2,0.666666667,22.6929621,0.4,9.037334647,21.47,0.233,0.091553497,289.7039134,0.217565197,GRASS,PERENNIAL,GRASS,27
437,HORDEUM MURINUM,6112,spvdrt.ar,1,0,0,3,3,3,3,31.1,0.405416667,NA,28.1259188,0.1,NA,204.9930273,0.217582152,GRASS,ANNUAL,GRASS,76
425,HETEROTHECA VILLOSA,1519,cdpt_drt.us,1,0,0,1.1,0.55,1.1,0.55,23.73333333,0.242222222,12.65,16.53696,3.186667,0.252040816,52.697725,0.2195,FORB,PERENNIAL,FORB,13
426,HETEROTHECA VILLOSA,4499,mattheis.ca,1,0,0,3,3,3,3,23.73333333,0.242222222,12.65,16.53696,3.186667,0.252040816,52.697725,0.2195,FORB,PERENNIAL,FORB,52
511,LUZULA SPICATA,5294,passogavia.it,1,0,0,0.01,0.01,0.01,0.01,22.59228887,0.24812,NA,13.42568753,0.254,NA,152.8099999,0.22,GRAMINOID,PERENNIAL,GRAMINOID,62
402,HEDEOMA HISPIDA,4789,oklah.us,1,0,0,0.5,0.5,0.5,0.5,NA,0.14225,NA,21.38832049,NA,0.15,166,0.22,FORB,ANNUAL,FORB,58
298,ELYMUS LANCEOLATUS,3752,kinsella.ca,1,0,0,1,1,1,1,25.371642,NA,NA,22.74526261,1.25,0.30820288,94.78007133,0.221186667,GRASS,PERENNIAL,GRASS,44
119,BRACHYPODIUM PINNATUM,15,allmendb.ch,1,55.75,18.58333333,39,13,-16.75,-5.583333333,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,GRASS,PERENNIAL,GRASS,1
120,BRACHYPODIUM PINNATUM,174,allmendo.ch,1,10.75,3.583333333,18.25,6.083333333,7.5,2.5,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,GRASS,PERENNIAL,GRASS,2
121,BRACHYPODIUM PINNATUM,5346,pineta.es,1,10.5,10.5,31,15.5,20.5,5,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,GRASS,PERENNIAL,GRASS,63
70,ARMERIA MARITIMA,5113,paike.ar,1,3,1,2,1,-1,0,17,0.308106667,9.3,21.1502,0.254,0.2612175,57.875,0.221876923,FORB,PERENNIAL,FORB,61
845,VICIA SATIVA,2241,cowidrt.ca,1,5,1,7,1.75,2,0.75,32.1,0.7509,3.5,26.61714286,0.3048,0.430769231,60.47073255,0.222666667,FORB,ANNUAL,LEGUME,23
31,AIRA ELEGANTISSIMA,3358,jilpanger.au,1,2.5,0.625,0.5,0.5,-2,-0.125,NA,0.45,NA,25.838354,0.066,NA,NA,0.228,GRASS,ANNUAL,GRASS,39
589,PLANTAGO LANCEOLATA,253,allmendo.ch,1,1.5,0.75,0.75,0.75,-0.75,0,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,FORB,PERENNIAL,FORB,2
590,PLANTAGO LANCEOLATA,2199,cowidrt.ca,1,0,0,2,2,2,2,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,FORB,PERENNIAL,FORB,23
591,PLANTAGO LANCEOLATA,108,allmendb.ch,1,0.25,0.25,2,1,1.75,0.75,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,FORB,PERENNIAL,FORB,1
592,PLANTAGO LANCEOLATA,5582,rhijn.nl,1,35,5.833333333,12,4,-23,-1.833333333,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,FORB,PERENNIAL,FORB,66
593,PLANTAGO LANCEOLATA,507,baddrt.de,1,0.05,0.05,0.3,0.3,0.25,0.25,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,FORB,PERENNIAL,FORB,5
594,PLANTAGO LANCEOLATA,5790,scruzh.us,1,23.9314175,11.96570875,22.2222222,22.2222222,-1.7091953,10.25651345,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,FORB,PERENNIAL,FORB,69
584,PIMPINELLA SAXIFRAGA,5373,pineta.es,1,3.5,1.75,1.5,0.5,-2,-1.25,21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222,FORB,PERENNIAL,FORB,63
585,PIMPINELLA SAXIFRAGA,104,allmendb.ch,1,7.5,2.5,7.25,2.416666667,-0.25,-0.083333333,21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222,FORB,PERENNIAL,FORB,1
586,PIMPINELLA SAXIFRAGA,249,allmendo.ch,1,7,2.333333333,6.5,2.166666667,-0.5,-0.166666667,21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222,FORB,PERENNIAL,FORB,2
214,CHENOPODIUM ALBUM,1510,cdpt_drt.us,1,0.3,0.1,0.2,0.1,-0.1,0,27.125,1.174877193,10.87,22.66936863,1.19,0.372010894,215.0556376,0.230308403,FORB,ANNUAL,FORB,13
804,TRIFOLIUM DUBIUM,3333,jenadrt.de,1,15,5,6,2,-9,-3,35.6,0.076,27.56771735,30.39,0.3445,0.109,254.8747547,0.231187416,LEGUME,ANNUAL,LEGUME,38
455,KOELERIA MACRANTHA,3073,hard.us,1,11,5.5,11,5.5,0,0,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,GRAMINOID,PERENNIAL,GRASS,34
456,KOELERIA MACRANTHA,4501,mattheis.ca,1,95,23.75,50,10,-45,-13.75,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,GRAMINOID,PERENNIAL,GRASS,52
457,KOELERIA MACRANTHA,4439,matador.ca,1,5.5,1.833333333,5,2.5,-0.5,0.666666667,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,GRAMINOID,PERENNIAL,GRASS,51
458,KOELERIA MACRANTHA,3927,konzadrt.us,1,30,6,43,8.6,13,2.6,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,GRAMINOID,PERENNIAL,GRASS,46
459,KOELERIA MACRANTHA,1520,cdpt_drt.us,1,10,10,12,12,2,2,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,GRAMINOID,PERENNIAL,GRASS,13
460,KOELERIA MACRANTHA,884,biddulph.ca,1,1.5,0.75,1,1,-0.5,0.25,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,GRAMINOID,PERENNIAL,GRASS,8
479,LEUCANTHEMUM VULGARE,5572,rhijn.nl,1,1,1,1,1,0,0,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,FORB,PERENNIAL,FORB,66
480,LEUCANTHEMUM VULGARE,89,allmendb.ch,1,2.75,1.375,3,1.5,0.25,0.125,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,FORB,PERENNIAL,FORB,1
544,NASSELLA VIRIDULA,4454,matador.ca,1,68,22.66666667,56,18.66666667,-12,-4,12.6088734,0.6096,NA,10.77,0.3556,0.517363388,54.89286067,0.23675,GRAMINOID,PERENNIAL,GRASS,51
545,NASSELLA VIRIDULA,3684,kernnu.ca,1,2,2,1,1,-1,-1,12.6088734,0.6096,NA,10.77,0.3556,0.517363388,54.89286067,0.23675,GRAMINOID,PERENNIAL,GRASS,43
641,PSEUDOROEGNERIA SPICATA,3095,hard.us,1,18,9,1,1,-17,-8,NA,0.267,NA,23.893,NA,0.153771092,103.8213416,0.237714286,GRASS,PERENNIAL,GRASS,34
820,TRISETUM SPICATUM,2911,falls.au,1,1,0.5,1,1,0,0.5,NA,0.32706,NA,21.1,0.3048,NA,NA,0.24,GRASS,PERENNIAL,GRASS,31
186,CAREX NIGRA,4204,lygraold.no,1,20,6.666666667,22,7.333333333,2,0.666666667,24.40009307,0.388666667,6.648625922,20.83559904,0.78,0.2198095,52.8,0.2421,GRAMINOID,PERENNIAL,GRAMINOID,49
106,BELLIS PERENNIS,3187,jenadrt.de,1,28,9.333333333,15,5,-13,-4.333333333,17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583,FORB,PERENNIAL,FORB,38
330,ESCHSCHOLZIA CALIFORNICA,5945,scruzm.us,1,36.4814939,7.29629878,13.0509908,4.350330267,-23.4305031,-2.945968513,46.6,0.405253333,NA,27.92808564,0.254,0.015053333,527.2,0.24385,FORB,PERENNIAL,FORB,71
807,TRIFOLIUM MONTANUM,296,allmendo.ch,1,2,0.666666667,0.5,0.5,-1.5,-0.166666667,34.121,0.306666667,NA,18.67023642,0.825,0.113646105,238.0656783,0.246975,FORB,PERENNIAL,LEGUME,2
808,TRIFOLIUM MONTANUM,155,allmendb.ch,1,1,1,0.25,0.25,-0.75,-0.75,34.121,0.306666667,NA,18.67023642,0.825,0.113646105,238.0656783,0.246975,FORB,PERENNIAL,LEGUME,1
516,MACHAERANTHERA PINNATIFIDA,1526,cdpt_drt.us,1,0.6,0.3,0.1,0.1,-0.5,-0.2,NA,NA,NA,14.18259087,1.335,NA,9.58714,0.248,FORB,PERENNIAL,FORB,13
517,MACHAERANTHERA PINNATIFIDA,5999,sevmixed.us,1,1.5,0.5,1,0.5,-0.5,0,NA,NA,NA,14.18259087,1.335,NA,9.58714,0.248,FORB,PERENNIAL,FORB,74
421,HETEROPOGON CONTORTUS,6246,ukulingadrt.za,1,0,0,12,6,12,6,11.22375,0.21336,4.15,9.881422925,0.254,0.371,16.75282186,0.25,GRASS,PERENNIAL,GRASS,78
422,HETEROPOGON CONTORTUS,797,bfl.us,1,0,0,17,8.5,17,8.5,11.22375,0.21336,4.15,9.881422925,0.254,0.371,16.75282186,0.25,GRASS,PERENNIAL,GRASS,7
278,DESMANTHUS ILLINOENSIS,4762,oklah.us,1,0.5,0.5,15,15,14.5,14.5,38.8,0.9144,NA,9.88,NA,0.3048,45.09036443,0.25,FORB,PERENNIAL,LEGUME,58
321,ERIGERON ANNUUS,2741,esw.ca,1,3,1,3,1,0,0,13.87251282,0.790891667,NA,23.37334387,1.02,0.32875817,62.7520477,0.25,FORB,ANNUAL,FORB,28
571,PHLEUM ALPINUM,5307,passogavia.it,1,0,0,0.2,0.2,0.2,0.2,24.71901341,0.19724,9.103855654,20.58967646,0.254,NA,73.35000002,0.25,GRASS,PERENNIAL,GRASS,62
58,ANTHYLLIS VULNERARIA,166,allmendo.ch,1,1.75,0.875,4.5,1.5,2.75,0.625,32.33118574,0.2845,19.6042,18.21819656,1.7,0.22014466,149.3012403,0.25,FORB,PERENNIAL,LEGUME,2
645,PTERIDIUM AQUILINUM,5652,sand.us,1,64,21.33333333,9,4.5,-55,-16.83333333,21.68333333,1.99667,9.852689835,16.98656271,0.254,0.184848485,53.87484386,0.2511,FERN,PERENNIAL,FORB,67
99,ASTREBLA LAPPACEA,4527,milparinka.au,1,63,21,63,21,0,0,16.2306281,0.65,NA,11.43619445,NA,NA,NA,0.25146667,GRASS,PERENNIAL,GRASS,53
569,PHALARIS ARUNDINACEA,6195,teshio.jp,1,50,25,25,12.5,-25,-12.5,27.64461715,1.564054762,NA,21.45431499,0.3556,0.181670595,159.3597052,0.252341667,GRASS,PERENNIAL,GRASS,77
156,CALLUNA VULGARIS,3145,hyide.de,1,245,81.66666667,197,65.66666667,-48,-16,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,36
157,CALLUNA VULGARIS,4197,lygraold.no,1,200,66.66666667,250,83.33333333,50,16.66666667,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,49
158,CALLUNA VULGARIS,3125,hoide.de,1,224,74.66666667,255,85,31,10.33333333,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,35
159,CALLUNA VULGARIS,4094,lygraint.no,1,252,84,235,78.33333333,-17,-5.666666667,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,48
809,TRIFOLIUM PRATENSE,2800,esw.ca,1,6,3,37,12.33333333,31,9.333333333,40.4444317,0.389308642,21.07704,27.55091965,0.3048,0.16269724,184.5175823,0.256183381,FORB,PERENNIAL,LEGUME,28
810,TRIFOLIUM PRATENSE,159,allmendb.ch,1,2,1,2.25,0.75,0.25,-0.25,40.4444317,0.389308642,21.07704,27.55091965,0.3048,0.16269724,184.5175823,0.256183381,FORB,PERENNIAL,LEGUME,1
811,TRIFOLIUM PRATENSE,5383,pineta.es,1,30.5,5.083333333,9.5,2.375,-21,-2.708333333,40.4444317,0.389308642,21.07704,27.55091965,0.3048,0.16269724,184.5175823,0.256183381,FORB,PERENNIAL,LEGUME,63
812,TRIFOLIUM PRATENSE,5613,rhijn.nl,1,2,1,1,1,-1,0,40.4444317,0.389308642,21.07704,27.55091965,0.3048,0.16269724,184.5175823,0.256183381,FORB,PERENNIAL,LEGUME,66
299,ELYMUS REPENS,3233,jenadrt.de,1,3.5,1.75,0.5,0.5,-3,-1.25,26.17661742,0.605442518,16.42030861,22.79877956,0.3556,0.220460629,91.89875611,0.258457785,GRASS,PERENNIAL,GRASS,38
300,ELYMUS REPENS,2737,esw.ca,1,1,1,1,1,0,0,26.17661742,0.605442518,16.42030861,22.79877956,0.3556,0.220460629,91.89875611,0.258457785,GRASS,PERENNIAL,GRASS,28
301,ELYMUS REPENS,1315,brookdale.ca,1,0,0,2,1,2,1,26.17661742,0.605442518,16.42030861,22.79877956,0.3556,0.220460629,91.89875611,0.258457785,GRASS,PERENNIAL,GRASS,10
601,POA ALPINA,5315,passogavia.it,1,10,2,15.8,3.16,5.8,1.16,13,0.298831111,16.9,21.51150438,0.254,NA,292.2,0.26,GRASS,PERENNIAL,GRASS,62
443,HYPOCHAERIS RADICATA,6118,spvdrt.ar,1,8,2.666666667,9,3,1,0.333333333,17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779,FORB,PERENNIAL,FORB,76
444,HYPOCHAERIS RADICATA,6364,yarradrt.au,1,1,1,1,1,0,0,17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779,FORB,PERENNIAL,FORB,80
445,HYPOCHAERIS RADICATA,632,bayrdrt.de,1,0.1,0.1,6,3,5.9,2.9,17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779,FORB,PERENNIAL,FORB,6
446,HYPOCHAERIS RADICATA,487,baddrt.de,1,0.2,0.2,1,1,0.8,0.8,17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779,FORB,PERENNIAL,FORB,5
447,HYPOCHAERIS RADICATA,2887,falls.au,1,4.5,0.9,2.5,0.833333333,-2,-0.066666667,17.75,0.3505,5.956457605,28.74506187,0.5475,0.14089564,151.7703194,0.261638779,FORB,PERENNIAL,FORB,31
787,THEMEDA TRIANDRA,6285,ukulingadrt.za,1,68,11.33333333,90,15,22,3.666666667,13.22821429,1.5,4.35,9.2635,NA,NA,NA,0.2625,GRASS,PERENNIAL,GRASS,78
813,TRIFOLIUM REPENS,2699,elvadrt.ee,1,2,1,2,2,0,1,43.78354086,0.236251111,21.66035,26.94650771,0.3048,0.123144013,192.8045087,0.263218929,FORB,PERENNIAL,LEGUME,27
814,TRIFOLIUM REPENS,6210,teshio.jp,1,11,3.666666667,3,3,-8,-0.666666667,43.78354086,0.236251111,21.66035,26.94650771,0.3048,0.123144013,192.8045087,0.263218929,FORB,PERENNIAL,LEGUME,77
815,TRIFOLIUM REPENS,717,bayrdrt.de,1,5,5,2,2,-3,-3,43.78354086,0.236251111,21.66035,26.94650771,0.3048,0.123144013,192.8045087,0.263218929,FORB,PERENNIAL,LEGUME,6
816,TRIFOLIUM REPENS,5385,pineta.es,1,0,0,3,3,3,3,43.78354086,0.236251111,21.66035,26.94650771,0.3048,0.123144013,192.8045087,0.263218929,FORB,PERENNIAL,LEGUME,63
374,GALIUM MOLLUGO,5552,rhijn.nl,1,155,25.83333333,50,25,-105,-0.833333333,29.6653889,0.57825,12.06782427,21.5515698,0.1688729,0.105319476,406.1581499,0.264461111,FORB,ANNUAL,FORB,66
784,TEUCRIUM CHAMAEDRYS,147,allmendb.ch,1,1,1,11.5,5.75,10.5,4.75,16,0.190683889,19.69,14.12995424,1.62,0.187321285,149.5449877,0.264622222,SHRUB,PERENNIAL,WOODY,1
785,TEUCRIUM CHAMAEDRYS,284,allmendo.ch,1,11.5,3.833333333,7.75,2.583333333,-3.75,-1.25,16,0.190683889,19.69,14.12995424,1.62,0.187321285,149.5449877,0.264622222,SHRUB,PERENNIAL,WOODY,2
573,PHLOX HOODII,4978,oreaa.us,1,7,3.5,6.5,1.625,-0.5,-1.875,23.27,0.02825,NA,13.95070877,0.54,0.180454545,107.0545926,0.2647,FORB,PERENNIAL,FORB,59
164,CAMPANULA PATULA,2557,elvadrt.ee,1,0,0,2,1,2,1,NA,0.4375,14.26593954,33.98333333,0.29,0.0375,NA,0.265133333,FORB,PERENNIAL,FORB,27
394,GUTIERREZIA SAROTHRAE,3486,jrnchi.us,1,0,0,2.4305556,2.4305556,2.4305556,2.4305556,18.68,0.23,12.4,9.393567894,0.4064,0.225,82.1343,0.2661,SHRUB,PERENNIAL,FORB,41
395,GUTIERREZIA SAROTHRAE,5997,sevmixed.us,1,0,0,1,1,1,1,18.68,0.23,12.4,9.393567894,0.4064,0.225,82.1343,0.2661,SHRUB,PERENNIAL,FORB,74
