,Taxon,X,site_code,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group,site.id
572,PHLEUM PRATENSE,660,bayrdrt.de,1,5,5,23,7.666666667,18,2.666666667,18.59699785,0.844195238,9.9,23.72403526,0.254,0.155576899,393.5587203,0.133333333,GRASS,PERENNIAL,GRASS,6
754,STELLARIA GRAMINEA,6205,teshio.jp,1,11,3.666666667,19,4.75,8,1.083333333,29.426,0.460386667,NA,29.05086069,0.34,0.337078652,251.0337458,0.135266667,FORB,PERENNIAL,FORB,77
755,STELLARIA GRAMINEA,2687,elvadrt.ee,1,2,1,3,1,1,0,29.426,0.460386667,NA,29.05086069,0.34,0.337078652,251.0337458,0.135266667,FORB,PERENNIAL,FORB,27
472,LEPIDIUM DENSIFLORUM,1521,cdpt_drt.us,1,0,0,0.1,0.1,0.1,0.1,46.39666667,0.32,14.21,22.39565455,NA,0.43647638,190.8904667,0.137691667,FORB,ANNUAL,FORB,13
165,CAMPANULA ROTUNDIFOLIA,859,biddulph.ca,1,0,0,4,4,4,4,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,FORB,PERENNIAL,FORB,8
166,CAMPANULA ROTUNDIFOLIA,3530,kernb.ca,1,0,0,0.5,0.5,0.5,0.5,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,FORB,PERENNIAL,FORB,42
167,CAMPANULA ROTUNDIFOLIA,3646,kernnu.ca,1,0.5,0.5,1,0.5,0.5,0,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,FORB,PERENNIAL,FORB,43
742,SONCHUS ASPER,5892,scruzl.us,1,2.0408163,2.0408163,43.6436137,14.54787123,41.6027974,12.50705493,27.6,0.5875,NA,24.97389591,0.69,0.301036269,223.2180487,0.1419,FORB,ANNUAL,FORB,70
743,SONCHUS ASPER,528,baddrt.de,1,1.05,0.35,3,1,1.95,0.65,27.6,0.5875,NA,24.97389591,0.69,0.301036269,223.2180487,0.1419,FORB,ANNUAL,FORB,5
259,DACTYLIS GLOMERATA,6311,validate.fr,1,92,18.4,148,29.6,56,11.2,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,GRASS,PERENNIAL,GRASS,79
