,AccSpeciesName,Leaf area,Leaf carbon (C) content per leaf dry mass,Leaf nitrogen (N) content per leaf dry mass,Plant height vegetative,Root carbon (C) content per root dry mass,Root nitrogen (N) content per root dry mass,Seed dry mass,Seed germination rate (germination efficiency),Specific leaf area,Leaf thickness,Leaf nitrogen (N) content per leaf area,Root rooting depth,Dispersal unit dry mass,Dispersal unit thickness,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Photosynthesis rate per leaf dry mass,Leaf carbon (C) content per leaf area,Fine root carbon/nitrogen (C/N) ratio,Coarse root carbon/nitrogen (C/N) ) ratio,"Root type, root architecture",Root/shoot ratio,Leaf carbon isotope signature (delta 13C),Root diameter,"Fine root length per fine root dry mass (specific fine root length, SRL)",Photosynthesis rate per leaf transpiration (photosynthetic water use effinciency: WUE),Coarse root nitrogen (N) content per coarse root dry mass,Fine root carbon (C) content per fine root dry mass,Fine root dry mass per fine root fresh mass (fine root dry matter content; RDMC),Fine root nitrogen (N) content per fine root dry mass,Coarse root dry mass per ground area,Fine root dry mass per ground area
11,Achillea millefolium,1006.5,428.1501336,23.95541537,0.423259428,382.6042417,21.37548076,0.165170971,100,17.65160206,0.2751,1.816284504,0.2032,0.1505,0.295,0.241440695,0.424141934,NA,56.00567705,47.17586133,NA,2.45685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Achyranthes aspera,NA,NA,NA,1.25,NA,NA,3.2393,95.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Acmispon americanus,NA,NA,NA,NA,NA,NA,4.864547619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Acmispon brachycarpus,NA,NA,NA,NA,NA,NA,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Acmispon maritimus,NA,NA,NA,NA,NA,NA,1.805375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Acmispon parviflorus,NA,NA,NA,NA,NA,NA,2.29,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Acmispon strigosus,NA,NA,NA,NA,NA,NA,1.452333333,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Acourtia nana,NA,NA,18.76667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Actinobole uliginosum,13.1617,NA,NA,0.015,NA,NA,0.07975,NA,18.35659068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Agalinis heterophylla,NA,NA,NA,NA,NA,NA,0.11,94.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Agalinis purpurea,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Agastache foeniculum,NA,NA,14.7,NA,NA,NA,0.265,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Agoseris glauca,NA,NA,NA,0.3048,NA,NA,1.135582471,NA,NA,NA,NA,0.1524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Agrimonia eupatoria,8461,425,14.6,0.771111111,NA,NA,18.92263571,90,15.529,NA,NA,NA,23.078,4.08,0.31825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Agropyron cristatum,423,NA,15.25,0.4498,NA,NA,3.764665717,NA,13.44438801,0.24,NA,0.4572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Agrostis canina,46.735,425.65,20.86288625,0.4223,435.75,9.3,0.05732,80,33.1583154,0.101333333,NA,0.254,0.056666667,0.233333333,0.284018,NA,NA,NA,NA,NA,NA,-28.11,0.15,NA,NA,NA,NA,NA,NA,NA,NA
27,Agrostis capillaris,192.947,434.0801587,27.65006595,0.393022873,416.2357143,8.907142857,0.070611111,97,29.44748071,0.120492064,1.570117297,0.3048,0.059,0.336666667,0.260963078,NA,NA,NA,NA,NA,NA,-28.05142857,0.128571429,NA,NA,NA,NA,NA,NA,NA,NA
28,Agrostis gigantea,309.6466667,NA,NA,0.94615,NA,NA,0.08298,100,25.95773333,NA,NA,0.3556,0.071,0.316666667,0.241993333,NA,NA,NA,NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Agrostis montevidensis,NA,NA,NA,0.229358974,NA,NA,NA,NA,NA,0.156896552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Agrostis rupestris,NA,NA,NA,0.035,NA,NA,NA,NA,15.5,NA,NA,NA,0.116,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Agrostis scabra,NA,NA,8.00326776,6.263666667,NA,NA,0.0647,NA,9.409573332,NA,NA,0.3048,NA,NA,0.4954,NA,NA,41.65174333,34.97626329,NA,0.112495427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Agrostis stolonifera,253.3799833,408.7144974,31.5111841,0.414942857,415.1,6.2,0.051948333,76,31.65060428,0.138666667,NA,0.3048,0.057333333,0.403333333,0.299178871,NA,NA,NA,NA,NA,NA,-30.7,0.1,13295.27111,NA,NA,NA,NA,NA,NA,NA
33,Aira caryophyllea,14.2,NA,NA,0.155,NA,NA,0.133642857,100,21.08,NA,NA,NA,0.075,0.3175,0.279666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Aira elegantissima,NA,NA,NA,NA,NA,NA,0.05,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Albuca setosa,NA,NA,NA,NA,NA,NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Alkanna tinctoria,NA,NA,11.2,NA,NA,NA,3.63,NA,31.44654088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Allionia incarnata,NA,NA,NA,NA,NA,NA,2.797,NA,21.88917424,0.648955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Allium acuminatum,NA,NA,NA,0.3048,NA,NA,2.042618482,100,NA,NA,NA,0.1524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Allium amplectens,NA,NA,NA,NA,NA,NA,2.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Allium carinatum,1298.223333,450.7,22.76,0.474333333,NA,NA,1.293777778,NA,22.04397876,NA,1.475268111,NA,NA,NA,0.111343333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Allium cernuum,NA,NA,NA,NA,NA,NA,3.85,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Allium neapolitanum,NA,NA,NA,NA,NA,NA,4.7,88.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Allium textile,NA,NA,NA,0.3048,NA,NA,2.475,NA,NA,NA,NA,0.2032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Allium vineale,1195,NA,NA,0.5375,NA,NA,13.7145,NA,17.40703293,0.4,NA,NA,NA,NA,0.1705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Alloteropsis cimicina,NA,NA,NA,NA,NA,NA,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Alopecurus pratensis,879.4416667,441.680697,23.8325776,0.806266667,NA,NA,0.84590026,100,27.30021588,NA,NA,0.3048,0.753,0.655,0.324488889,NA,NA,NA,NA,NA,NA,NA,NA,6768.443055,NA,NA,NA,NA,NA,NA,NA
47,Alternanthera sessilis,160,NA,NA,0.3,NA,NA,0.323516667,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Alysicarpus ovalifolius,NA,NA,23.7,NA,NA,NA,2.19,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Alyssum desertorum,NA,NA,NA,0.1,NA,NA,0.465,NA,27.17578947,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Amaranthus viridis,NA,NA,NA,NA,NA,NA,0.5825,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Ambrosia artemisiifolia,3781.883333,NA,23.1,0.909666667,NA,NA,3.99,NA,21.45333609,NA,1.13456,NA,NA,1.9,0.151706667,0.2193,NA,38.43387379,44.81896747,NA,0.119945091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Ambrosia deltoidea,NA,NA,NA,NA,NA,NA,12.27,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Ambrosia dumosa,NA,NA,29.546,0.6096,NA,NA,103.0750113,94,NA,NA,NA,0.3048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Ambrosia psilostachya,469.5356279,405.0709762,18.97013095,0.573,NA,NA,6.6635,NA,15.44603169,NA,NA,NA,NA,NA,0.312764362,NA,NA,NA,59.02199283,NA,0.063284183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Ambrosia tenuifolia,NA,NA,28.1,NA,NA,NA,NA,NA,11.245,0.344166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Amelanchier alnifolia,NA,NA,18.2,4.572,NA,NA,7.11547095,NA,9.366271504,NA,NA,0.6096,NA,NA,NA,0.154881662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Amorpha canescens,1117.697486,483.6941304,22.25861206,0.9096,NA,NA,2.06066574,NA,22.32649922,NA,NA,0.508,NA,NA,0.407094503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Amphicarpaea bracteata,NA,NA,23.5625,NA,NA,NA,31.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Amsinckia menziesii,3446,NA,NA,0.5,NA,NA,1.8473,80,23.75,NA,NA,NA,NA,NA,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Amsinckia tessellata,NA,NA,NA,NA,NA,NA,4.459166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Anagallis arvensis,104,NA,NA,0.187,NA,NA,0.46794,90.5,28.34396552,0.25,NA,NA,NA,NA,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Andropogon gerardii,1622.15395,459.365622,11.43191184,1.148072222,413.4,14.4,2.286543361,NA,19.32942295,0.12,NA,0.508,NA,NA,0.352528624,NA,NA,NA,NA,NA,0.498362777,-13,0.1,NA,NA,NA,NA,NA,NA,NA,NA
63,Andropogon glomeratus,NA,NA,15.3,1.92024,NA,NA,1.289630612,84,NA,NA,NA,0.3048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Andropogon lateralis,NA,NA,NA,0.317521698,NA,NA,NA,NA,NA,0.185825243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Andropogon virginicus,NA,NA,13.3,0.763593333,NA,NA,0.411924396,NA,11.86738259,NA,NA,0.3556,NA,NA,0.516386487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Androsace septentrionalis,26.29,NA,NA,0.187222222,NA,NA,0.193,100,21.53583333,NA,NA,NA,NA,NA,0.176933333,NA,NA,NA,NA,NA,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Anemone cylindrica,NA,NA,NA,0.378666667,NA,NA,1.096666667,NA,15.51323914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155437302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Antennaria neglecta,280.392619,424.2126667,14.85633333,0.3048,NA,NA,0.078206998,NA,17.70998319,NA,NA,0.2286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Anthoxanthum odoratum,225.4777443,445.5531639,23.59023243,0.383753535,418.7333333,8.005555556,0.6351875,96.5,24.91123988,0.129638889,1.751246676,NA,0.556666667,0.553333333,0.317219517,NA,NA,NA,NA,NA,0.289,-27.98888889,0.111111111,NA,NA,NA,NA,NA,NA,NA,NA
70,Anthriscus sylvestris,22864,459.7996296,31.66298085,0.746666667,NA,NA,4.448501786,94.5,32.16061769,0.173333333,NA,NA,3.945,0.97,0.187914591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,Anthyllis vulneraria,1007,436.8483348,32.33118574,0.2845,NA,19.6042,2.927449091,100,18.21819656,0.37,1.77101365,NA,NA,NA,0.167130925,NA,NA,NA,NA,NA,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,APERA SPICA-VENTI,757.5,NA,NA,0.775,NA,NA,0.110857143,100,19.13333333,NA,NA,NA,0.119,0.3525,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Apocynum cannabinum,NA,NA,NA,0.95292,NA,NA,0.967932367,NA,10.21642474,NA,NA,0.3048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Aquilegia canadensis,NA,NA,NA,NA,NA,NA,NA,84,34.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Arenaria serpyllifolia,9.362,NA,NA,0.2178,NA,NA,0.076380229,100,21.35760291,0.222,NA,NA,NA,NA,0.225212222,NA,NA,NA,NA,NA,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Argylia radiata,NA,NA,NA,NA,NA,NA,4.82,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Argyrolobium zanonii,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Aristida contorta,30,NA,NA,0.3,NA,NA,2.238333333,NA,9.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Aristida holathera,100,520,8.4875,0.7,535,2.975,NA,NA,5.62,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.8775,0.375,NA,NA,NA,NA,NA,NA,NA,NA
80,Aristida purpurea,NA,NA,NA,NA,NA,NA,1.16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Aristida setifolia,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Aristida stricta,NA,NA,NA,1.18872,NA,NA,0.712898551,NA,NA,NA,NA,0.1524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Aristida venustula,NA,NA,NA,0.12335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Aristolochia chilensis,NA,NA,NA,NA,NA,NA,6.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Armeria maritima,NA,NA,17,0.308106667,NA,NA,0.62,94.33333333,NA,NA,NA,0.254,1.274333333,0.96,0.17294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Arnica cordifolia,1350.222222,NA,NA,0.4572,NA,NA,1.530543259,NA,17.93501071,NA,NA,0.1524,NA,NA,NA,0.253992651,NA,NA,NA,NA,NA,NA,NA,NA,2.094410984,NA,NA,NA,NA,NA,NA
87,Arrhenatherum elatius,1223,429.0133333,29.13532598,0.989798495,NA,NA,2.702454099,94.2,29.00111419,0.14,1.489888508,0.3556,2.99,1.255,0.26491161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Artemisia absinthium,2475.5,NA,NA,0.802333333,NA,NA,0.107732857,100,24.66323678,0.16167,NA,NA,0.103,0.25,0.2205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Artemisia arbuscula,NA,NA,NA,0.6096,NA,NA,0.607972506,90.5,NA,NA,NA,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Artemisia campestris,180.8916667,NA,28.42,0.637875,NA,NA,0.165679167,61.5,12.76973075,NA,3.2368,NA,0.12,0.25,0.21680713,0.1938,NA,NA,NA,NA,0.685802975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,Artemisia cana,NA,NA,NA,1.524,NA,NA,0.400022744,NA,NA,NA,NA,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,Artemisia filifolia,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,Artemisia frigida,236.5555556,441.0966667,27.14787037,0.6096,NA,NA,0.0766,85.33333333,15.13958917,NA,NA,0.2032,NA,NA,NA,0.351931466,NA,NA,NA,NA,NA,NA,NA,NA,2.024299092,NA,NA,NA,NA,NA,NA
94,Artemisia ludoviciana,361.0964742,444.6546364,19.24454545,0.59195,NA,NA,0.158941027,87,16.4954108,NA,NA,0.2032,NA,NA,0.319409336,NA,NA,NA,NA,NA,0.114516289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,Artemisia nova,NA,NA,NA,0.6096,NA,NA,1.037692113,NA,NA,NA,NA,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Artemisia scoparia,NA,NA,24.8,0.45,NA,NA,35.41,NA,9.04159132,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Artemisia tridentata,43.97777778,NA,15.26666667,2.0334,NA,NA,0.330202386,88,7.24415531,NA,NA,0.508,NA,NA,NA,0.040367572,NA,NA,NA,NA,NA,NA,NA,NA,3.026846463,NA,NA,NA,NA,NA,NA
98,Artemisia vulgaris,3914.426333,424.1666667,44.63333333,1.439387862,NA,NA,0.152111429,100,21.44697757,0.154,NA,NA,0.127,0.35,0.232392647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,Asclepias fascicularis,NA,NA,NA,NA,NA,NA,5.4125,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,Asclepias tuberosa,454.0484167,455.6,26.19666667,0.5748,NA,NA,6.683881988,NA,24.40050548,NA,NA,0.4064,NA,NA,0.209723123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Asclepias verticillata,NA,NA,16.3,0.496666667,NA,NA,2.1985,NA,20.79453641,NA,NA,NA,NA,NA,0.221142088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Asclepias viridis,NA,NA,NA,0.456,NA,NA,5.2525,NA,10.46681531,NA,NA,NA,NA,NA,0.228371869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,Asperula aristata,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Asperula cynanchica,18.4,NA,NA,0.284375,NA,NA,0.848,75.5,27.91666667,NA,NA,NA,0.99,0.98,0.323386667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,Aspilia montevidensis,NA,NA,NA,0.13843125,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,Aster squamatus,NA,NA,NA,0.3,NA,NA,0.114166667,NA,24.49096986,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,Astragalus agrestis,NA,NA,NA,0.3048,NA,NA,3.774154589,NA,NA,NA,NA,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,Astragalus crassicarpus,NA,NA,NA,NA,NA,NA,5.141666667,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,Astragalus flexuosus,NA,NA,NA,NA,NA,NA,1.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Astragalus laxmannii,NA,NA,NA,NA,NA,NA,1.506666667,NA,13.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,Astragalus missouriensis,NA,NA,NA,NA,NA,NA,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
