,site_code,Taxon,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response
811,bfl.us,LIATRIS PUNCTATA,1,41,13.66666667,23,11.5,-18,-2.166666667
814,bfl.us,LINUM RIGIDUM,1,1,1,8,8,7,7
821,bfl.us,PHYLLANTHUS POLYGONOIDES,1,1,1,1,1,0,0
824,bfl.us,PLANTAGO RHODOSPERMA,1,1,1,2,1,1,0
827,bfl.us,POLYPREMUM PROCUMBENS,1,1,1,5,2.5,4,1.5
829,bfl.us,QUERCUS FUSIFORMIS,1,0,0,1,1,1,1
830,bfl.us,RUDBECKIA HIRTA,1,1,1,3,1.5,2,0.5
834,bfl.us,SCHIZACHYRIUM SCOPARIUM,1,18,9,6,6,-12,-3
836,bfl.us,STENARIA NIGRICANS,1,4,4,2,1,-2,-3
838,bfl.us,SYMPHYOTRICHUM DRUMMONDII,1,0,0,2,2,2,2
840,bfl.us,THELESPERMA FILIFOLIUM,1,3,3,0,0,-3,-3
843,bfl.us,TORILIS ARVENSIS,1,1,1,0,0,-1,-1
848,biddulph.ca,ARTEMISIA FRIGIDA,1,5,5,2,2,-3,-3
853,biddulph.ca,ARTEMISIA LUDOVICIANA,1,0,0,1,1,1,1
859,biddulph.ca,CAMPANULA ROTUNDIFOLIA,1,0,0,4,4,4,4
864,biddulph.ca,CERASTIUM ARVENSE,1,0,0,2,2,2,2
869,biddulph.ca,CHONDROSUM GRACILE,1,2,2,0,0,-2,-2
872,biddulph.ca,ELYMUS SMITHII,1,0,0,0.5,0.5,0.5,0.5
876,biddulph.ca,FESTUCA ALTAICA,1,2,2,0.5,0.5,-1.5,-1.5
878,biddulph.ca,HELICTOTRICHON HOOKERI,1,5,5,5,5,0,0
884,biddulph.ca,KOELERIA MACRANTHA,1,1.5,0.75,1,1,-0.5,0.25
887,biddulph.ca,LIATRIS PUNCTATA,1,0,0,1,1,1,1
892,biddulph.ca,LYGODESMIA JUNCEA,1,1.5,0.75,0,0,-1.5,-0.75
897,biddulph.ca,PSORALEA LANCEOLATA,1,13,6.5,33,11,20,4.5
902,biddulph.ca,ROSA ARKANSANA,1,8,8,1,1,-7,-7
912,biddulph.ca,SOLIDAGO MISSOURIENSIS,1,8,8,0,0,-8,-8
917,biddulph.ca,STIPA COMATA,1,25,12.5,29,14.5,4,2
1258,brokenh.au,ACACIA TETRAGONOPHYLLA,1,1,1,0,0,-1,-1
1261,brokenh.au,MAIREANA PYRAMIDATA,1,28,9.333333333,0,0,-28,-9.333333333
1265,brokenh.au,SCLEROLAENA DIACANTHA,1,3,1,2,1,-1,0
1267,brokenh.au,SIDA PETROPHILA,1,5,1.25,3,1,-2,-0.25
1268,brokenh.au,SOLANUM ELLIPTICUM,1,2,1,1,1,-1,0
1269,brokenh.au,TRIPOGON LOLIIFORMIS,1,2,1,0,0,-2,-1
1271,brookdale.ca,ACHILLEA MILLEFOLIUM,1,1,1,1.5,1.5,0.5,0.5
1275,brookdale.ca,AGASTACHE FOENICULUM,1,0,0,3,1.5,3,1.5
1279,brookdale.ca,ALLIUM CERNUUM,1,1,1,0,0,-1,-1
1283,brookdale.ca,ANDROPOGON GERARDII,1,5.75,2.875,7.833333333,2.611111111,2.083333333,-0.263888889
1287,brookdale.ca,ANEMONASTRUM CANADENSE,1,6,2,9.75,2.4375,3.75,0.4375
1292,brookdale.ca,ARTEMISIA LUDOVICIANA,1,6.25,1.25,9.75,1.95,3.5,0.7
1296,brookdale.ca,BROMUS INERMIS,1,15.5,3.1,18.25,3.65,2.75,0.55
1302,brookdale.ca,CIRSIUM ARVENSE,1,9.5,1.9,10.66666667,2.133333333,1.166666666,0.233333333
1305,brookdale.ca,COMANDRA UMBELLATA,1,1,1,0,0,-1,-1
1311,brookdale.ca,CYPRIPEDIUM PARVIFLORUM,1,2.5,1.25,2,1,-0.5,-0.25
1315,brookdale.ca,ELYMUS REPENS,1,0,0,2,1,2,1
1319,brookdale.ca,GALIUM BOREALE,1,6.416666667,1.283333333,6.666666667,1.333333333,0.25,0.05
