Taxon,Taxonomic.status,Taxon.update,Taxon.notes,LA_mm2,leafC.mg.g,leafN.mg.g,height.m,rootC.mg.g,rootN.mg.g,seed.dry.mass.mg,SLA_m2/kg,leaf.thickness.mm,root.depth_m,RTD.g.cm3,fineRTD,LDMC.g.g,SRL_m/g,fineSRL_m/g,rootDiam.mm,Fine.root.C.N.ratio,Root.Shoot.Ratio,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,SOURCES
AGOSERIS GLAUCA,Accepted,AGOSERIS GLAUCA,,510.1668182,426.206,17.172,0.1183,458.63,8.85,2.53,19.71405909,,0.1524,0.12631018,,0.17155,56.33396327,,,,,"SLR, rootC, and Root N from Groot",,"Biddulph, Kernen_unburned, Matador",Compositae,FORB,PERENNIAL,FORB,
COMMELINA CYANEA,Accepted,COMMELINA CYANEA,,,,30.634,0.1,,,17.5,34.85,,,0.12642,,,,,0.05284,,,,,Yarramundi Drt,Commelinaceae,FORB,PERENNIAL,FORB,
PHRAGMITES AUSTRALIS,Accepted,PHRAGMITES AUSTRALIS,,6640.425,410.4,25.29984195,2.600709333,400.0475,13.1,0.55175,13.81737428,0.217777778,0.508,0.126872908,,0.41146125,322.7959115,,0.18602,,,"RootC, RTD, SRL, Diam from groot",,"Changling, Teshio Experimental Grassland",Poaceae,GRASS,PERENNIAL,GRASS,
VACCINIUM ULIGINOSUM,Accepted,VACCINIUM ULIGINOSUM,,142.5595688,523.6567872,19.4998079,0.470266667,501.4448297,4.2,11.2084,13.90672208,0.235,0.2274,0.1278406,,0.37473542,162.5,,0.124,53.77183493,,rootC from groot,,"Lygra_intermediate, Lygra_old",Ericaceae,SUBSHRUB,NULL,WOODY,
LOTUS CORNICULATUS,Accepted,LOTUS CORNICULATUS,,132,467.0591111,32.37274407,0.357339206,431.5434222,21.21401,1.2253612,21.71513633,0.194875,0.3556,0.12871093,,0.194615174,104.3277979,,0.351194598,,0.466,"RootC, RTD, SRL, Diam from groot",,"Allmend Brachy, Allmend Ovina, Bayreuth_DroughtNet, ESW, Lygra_intermediate, Pineta, Purdue Wildlife Area, Rhijnauwen, Yarramundi Drt",Fabaceae,FORB,PERENNIAL,LEGUME,
SOLIDAGO NEMORALIS,Accepted,SOLIDAGO NEMORALIS,,609.8159571,439.494,15.47778333,0.57,,23.31317375,0.27687915,13.95394921,0.1825,0.3048,0.129791058,,0.325770939,208.2087011,,0.369872222,,,"RootN, RTD, SRL,diam from groot",,"Cedar Creek Trait, Oklahoma (KAEFS-OK)",Compositae,FORB,PERENNIAL,FORB,
BELLIS PERENNIS,Accepted,BELLIS PERENNIS,,359,384.8713864,17.81,0.165,442.24,8.4,0.136985185,34.15,,0.18,0.130088142,,0.1135,324.9590331,,0.243322583,,,"LeafN, height, SLA from PI","Diam, RootC and N, RTD,SRL from groot","Bayreuth_DroughtNet, Jena",Compositae,FORB,PERENNIAL,FORB,
RANUNCULUS REPENS,Accepted,RANUNCULUS REPENS,,2549.466667,436.72802,23.05293867,0.369253333,386.6762713,9.982096286,5.149056315,29.1838443,0.235833333,0.1524,0.133080484,,0.182175833,217.6519817,,0.412452083,,,"RootC and N,RTD, SRL, diam from groot",,"Bayreuth_DroughtNet, Teshio Experimental Grassland",Ranunculaceae,FORB,PERENNIAL,FORB,
CERASTIUM FONTANUM,Accepted,CERASTIUM FONTANUM,,182.59075,437.38,24.9755,0.218333333,418.6465169,8.721238939,0.138767778,25.83139407,0.225,,0.133299797,,0.13025,101.6244572,,0.282,,0.125,"diam, RTD, SRL, rootC and N from groot",,"Bad Drought, Bayreuth_DroughtNet, Jena, Rhijnauwen",Caryophyllaceae,FORB,PERENNIAL,FORB,
CENTAUREA JACEA,Accepted,CENTAUREA JACEA,,,435.6,25.06160617,0.8275,390.7285086,11.34202,1.478422222,21.9478316,,0.155,0.133545753,,0.219053333,116.6184597,,0.328737037,,,"RootC, Diam,depth,RTD, SRL from groot",,"Allmend Brachy, Allmend Ovina, Bayreuth_DroughtNet, Rhijnauwen",Compositae,FORB,PERENNIAL,FORB,
