Taxon,Taxonomic.status,Taxon.update,Taxon.notes,LA_mm2,leafC.mg.g,leafN.mg.g,height.m,rootC.mg.g,rootN.mg.g,seed.dry.mass.mg,SLA_m2/kg,leaf.thickness.mm,root.depth_m,RTD.g.cm3,fineRTD,LDMC.g.g,SRL_m/g,fineSRL_m/g,rootDiam.mm,Fine.root.C.N.ratio,Root.Shoot.Ratio,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,SOURCES
CAREX SORORIA,Accepted,CAREX SORORIA,,,,,,,,,,,,,,,,,,,,,,Mar Chiquita Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,
CARPHEPHORUS BELLIDIFOLIUS,Accepted,CARPHEPHORUS BELLIDIFOLIUS,,,,,,,,,,,,,,,,,,,,,,Sandhills,Compositae,FORB,PERENNIAL,FORB,
CELMISIA COSTINIANA,Accepted,CELMISIA COSTINIANA,,382.515333,,,0.515,,,2.977,9.655537,,,,,0.205479452,,,,,,,,Falls Creek,Compositae,FORB,PERENNIAL,FORB,
CENCHRUS CILIARIS,Accepted,CENCHRUS CILIARIS,,588,372.747125,18.5,0.9144,479.3,6.5,1.262496311,14.69,,0.508,,,,,,,,,RootC and N from groot,,Los Cerrillos,Poaceae,GRASS,PERENNIAL,GRASS,
CENTAUREA ARENARIA,Accepted,CENTAUREA ARENARIA,,,,,,,,,,,,,,,,,,,,,,Kiskunsag,Compositae,FORB,PERENNIAL,FORB,
CENTAUREA HYSSOPIFOLIA,Accepted,CENTAUREA HYSSOPIFOLIA,,,,17.42720296,0.42,,,,9.955818151,,,,,,,,,,,,,Ciempozuelos,Compositae,SUBSHRUB,NULL,WOODY,
CENTAUREA MELITENSIS,Accepted,CENTAUREA MELITENSIS,,167,,,1,,,1.407,9.4,,0.3,,,,145.36,,,,,,,"CredoJ, CredoM, La Campana North Facing, La Campana South Facing",Compositae,FORB,ANNUAL,FORB,
CENTAUREA SCABIOSA,Accepted,CENTAUREA SCABIOSA,,4352,444,22.3,0.9625,,,6.543224242,16.2315625,,2.708833,,,0.197,,,,,,,,"Allmend Brachy, Allmend Ovina",Compositae,FORB,PERENNIAL,FORB,
CENTIPEDA CUNNINGHAMII,Accepted,CENTIPEDA CUNNINGHAMII,,13,,,0.2,,,0.0416,18.1,,,,,,,,,,,,,Quilpie,Compositae,FORB,PERENNIAL,FORB,
Centrolepis ARISTATA,Accepted,Centrolepis ARISTATA,,117.81,,19.7,0.09857143,,,0.03713333,28.092362,,,,,0.5486,,,,,,,,Jilpanger,Centrolepidaceae,FORB,ANNUAL,FORB,
Centrolepis POLYGYNA,Accepted,Centrolepis POLYGYNA,,75.3982,,,0.07,,,0.06095,,,,,,,,,,,,,,Jilpanger,Centrolepidaceae,FORB,ANNUAL,FORB,
Centrolepis STRIGOSA,Accepted,Centrolepis STRIGOSA,,9.42478,,,0.11,,,0.028,5.632,,,,,0.8926,,,,,,,,Jilpanger,Centrolepidaceae,FORB,ANNUAL,FORB,
CENTROSTEGIA THURBERI,Accepted,CENTROSTEGIA THURBERI,,,,,,,,,,,,,,,,,,,,,,Gmdrc Molar Junction,Polygonaceae,FORB,ANNUAL,FORB,
CEPHALARIA PUNGENS,Accepted,CEPHALARIA PUNGENS,,,,,,,,,,,,,,,,,,,,,,Ukulinga Drought,Caprifoliaceae,FORB,PERENNIAL,FORB,
CEPHALIPTERUM DRUMMONDII,Accepted,CEPHALIPTERUM DRUMMONDII,,,,,0.33086325,,,7.22,37.282501,,,,,,,,,,,,,"CredoJ, CredoM",Compositae,FORB,ANNUAL,FORB,
CERATOCEPHALA TESTICULATA,Accepted,CERATOCEPHALA TESTICULATA,,,,,,,,,,,,,,,,,,,,,,OCTC_GreatBasin,Ranunculaceae,FORB,ANNUAL,FORB,
CHAENACTIS FREMONTII,Accepted,CHAENACTIS FREMONTII,,,,11,,,3.35,1.0225,,,,,,,,,,,,,,NNSS_Mojave,Compositae,FORB,ANNUAL,FORB,
CHAENACTIS STEVIOIDES,Accepted,CHAENACTIS STEVIOIDES,,,,,,,,0.432,,,,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank, Gmdrc Granitecove, Gmdrc Molar Junction",Compositae,FORB,ANNUAL,FORB,
CHAEROPHYLLUM ERIOPODUM,Unresolved,,synonym: Oreomyrrhis eriopoda,,,,,,,2.275,,,,,,,,,,,,,,Falls Creek,Apiaceae,FORB,PERENNIAL,FORB,
CHAETACANTHUS BURCHELLII,Accepted,CHAETACANTHUS BURCHELLII,,,,,,,,,,,,,,,,,,,,,,Ukulinga Drought,Acanthaceae,SHRUB,PERENNIAL,FORB,
CHAMAECRISTA NICTITANS,Accepted,CHAMAECRISTA NICTITANS,,,,,,,,3.15,,,,,,,,,,,,,,Sandhills,Fabaceae,LEGUME,ANNUAL,LEGUME,
CHAMAECRISTA RAMOSA,Accepted,CHAMAECRISTA RAMOSA,,,,,,,,14.1,,,,,,,,,,,,,,Guaribas,Fabaceae,SUBSHRUB,PERENNIAL,LEGUME,
CHAMAESCILLA CORYMBOSA,Accepted,CHAMAESCILLA CORYMBOSA,,1884.96,,23,0.4,,,0.81,63.13,,,,,0.1934,,,,,,,,Jilpanger,Asphodelaceae,FORB,PERENNIAL,FORB,
CHENOPODIUM QUINOA,Accepted,CHENOPODIUM QUINOA,,,,,,,,1.966666667,,,,,,,,,,,,,,San Claudio,Amaranthaceae,FORB,BIENNIAL,FORB,
CHLOROGALUM POMERIDIANUM,Accepted,CHLOROGALUM POMERIDIANUM,,,,28.9,,,,9.28325,12.962,,,,,0.24613,,,,,,,,SantaCruzHigh,Hyacinthaceae,FORB,PERENNIAL,FORB,
CHONDROSUM ERIOPODUM,Accepted,BOUTELOUA ERIOPODA,Name updated,,,14.8969364,,,,,18.54844313,,,,,,,0.009077978,0.03,,,,,"Antelope, Jornada_LTER Drt, JRN_Chihuahuan, Sevilleta_Black, Sevilleta_Blue, Sevilleta_Mixed",Poaceae,GRAMINOID,PERENNIAL,GRASS,
CHONDROSUM GRACILE,Accepted,CHONDROSUM GRACILE,,,,15.9806955,,,,,15.34680195,,,,,,,0.008855239,0.036,,,,,"Biddulph, Sevilleta_Blue, Sevilleta_Mixed",Poaceae,GRAMINOID,PERENNIAL,GRASS,
CHORIZANTHE BREVICORNU,Accepted,CHORIZANTHE BREVICORNU,,,,,,,,,,,,,,,,,,,,,,"Cap Whitetank, NNSS_Mojave",Polygonaceae,FORB,ANNUAL,FORB,
CHORIZANTHE RIGIDA,Accepted,CHORIZANTHE RIGIDA,,,,,,,,,,,,,,,,,,,,,,NNSS_Mojave,Polygonaceae,FORB,ANNUAL,FORB,
CHRYSOCEPHALUM APICULATUM,Accepted,CHRYSOCEPHALUM APICULATUM,,82.54415,,27.1,0.4,,,0.059416667,16.64122201,,,,,,,,,,,,,"Broken Hill, Jilpanger, Milparinka",Compositae,FORB,PERENNIAL,FORB,
CHRYSOPSIS MARIANA,Accepted,CHRYSOPSIS MARIANA,,,,,,,,0.74,,,,,,,,,,,,,,Sandhills,Compositae,FORB,PERENNIAL,FORB,
CHRYSOTHAMNUS VISCIDIFLORUS,Accepted,CHRYSOTHAMNUS VISCIDIFLORUS,,,,,0.9144,,,0.802723619,,,0.3556,,,,,,,,,,,"CMSS, Hardware Ranch, ORE IDE AC",Compositae,SHRUB,PERENNIAL,WOODY,
CHYLISMIA CLAVIFORMIS,Accepted,CHYLISMIA CLAVIFORMIS,,,,,,,,0.132,,,,,,,,,,,,,,NNSS_Mojave,Onagraceae,FORB,ANNUAL,FORB,
CIRSIUM ARVENSE,Accepted,CIRSIUM ARVENSE,,3857.5,409.9085686,29.75611991,0.84284049,,15.2,1.417251496,16.60803212,0.460375,1.853333,,,0.151845444,64,,0.71,,,"RootN and SRL from Groot, Rdiam from Julie Larson",,"Bad Drought, Biddulph, Brookdale, ESW, Kernen_burned, Kernen_unburned",Compositae,FORB,PERENNIAL,FORB,
CISTUS CLUSII,Accepted,CISTUS CLUSII,,23,,17.575,1,,,21.41,15.66073822,0.69,,,,,,,,,,,,Ayora Experimental Station,Cistaceae,SHRUB,PERENNIAL,WOODY,
CLAYTONIA PERFOLIATA,Accepted,CLAYTONIA PERFOLIATA,,385.5055333,,24.6,0.222866667,,,0.6726489,52.4560081,,0.1524,,,0.060336111,,,,,,,,Cowichan Drt,Montiaceae,FORB,NULL,FORB,
CLINOPODIUM DARWINII,Accepted,CLINOPODIUM DARWINII,,,,,,,,,,,,,,,,,,,,,,Potrok Aike Drt,Lamiaceae,FORB,PERENNIAL,FORB,
CLINOPODIUM VULGARE,Accepted,CLINOPODIUM VULGARE,,,494,21.64,0.1,,9.27871,,26.03,,0.1524,,,,,,,,,"leafN, height, SLA from PI",rootN from groot,Jena,Lamiaceae,FORB,PERENNIAL,FORB,
COLLINSIA PARVIFLORA,Accepted,COLLINSIA PARVIFLORA,,,,,0.3048,,,1.555665286,32.3,,,,,,,,0.28,,,,,"Cowichan Drt, ORE IDE AA, ORE IDE AC",Scrophulariaceae,FORB,ANNUAL,FORB,
COLLOMIA GRANDIFLORA,Accepted,COLLOMIA GRANDIFLORA,,,,,0.4,,,3.320333333,,,,,,,,,,,,,,ORE IDE AC,Polemoniaceae,FORB,ANNUAL,FORB,
COLOBANTHUS LYCOPODOIDES,Accepted,COLOBANTHUS LYCOPODOIDES,,,,,,,,,,,,,,,,,,,,,,Potrok Aike Drt,Caryophyllaceae,SUBSHRUB,PERENNIAL,WOODY,
COMMELINA AFRICANA,Accepted,COMMELINA AFRICANA,,,,,,,,,,,,,,,,,,,,,,Ukulinga Drought,Commelinaceae,FORB,PERENNIAL,FORB,
CONYZA SUMATRENSIS,Accepted,CONYZA SUMATRENSIS,,,,,0.058,,,0.048,18.2,,,,,0.195,,,,,,,,Yarramundi Drt,Compositae,NULL,ANNUAL,FORB,
CORDOBIA ARGENTEA,Accepted,CORDOBIA ARGENTEA,,,,27.9,,,,,5.52599535,0.307293333,,,,0.371,,,,,,,,Los Cerrillos,Malpighiaceae,VINE,PERENNIAL,WOODY,
COREOPSIS TINCTORIA,Accepted,COREOPSIS TINCTORIA,,579.3938095,422.3,14.704,0.1905,521.13,12.73,0.254,14.36677143,,,,,0.1529,28.59345,,,,,"RootC and N, SRL from groot",,Cedar Point - Drought-Net,Compositae,FORB,ANNUAL,FORB,
CORIS MONSPELIENSIS,Accepted,CORIS MONSPELIENSIS,,4,477.5438333,18.43820333,,,,0.75,12.91,,,,,,,,,,,,,Ayora Experimental Station,Primulaceae,SUBSHRUB,PERENNIAL,WOODY,
COTTEA PAPPOPHOROIDES,Accepted,COTTEA PAPPOPHOROIDES,,,,,,,,,,,,,,,,,,,,,,Los Cerrillos,Poaceae,GRASS,ANNUAL,GRASS,
CRABBEA SQUARROSA,NA,,NA,,,,,,,,,,,,,,,,,,,,,Ukulinga Drought,Acanthaceae,FORB,PERENNIAL,FORB,
CRASPEDIA AURANTIA,Accepted,CRASPEDIA AURANTIA,,625.623,,,0.6,,,0.39843333,23.731463,,,,,0.019932203,,,,,,,,Falls Creek,Compositae,FORB,PERENNIAL,FORB,
CRASSULA CONNATA,Accepted,CRASSULA CONNATA,,,,,,,,0.014,,,,,,,,,,,,,,Cap Whitetank,Crassulaceae,FORB,ANNUAL,FORB,
CREPIS CAPILLARIS,Accepted,CREPIS CAPILLARIS,,1585.666667,451,25.65,0.458333333,,10.7,0.221595083,35.00023666,0.196,0.385,,,0.125666667,138,,,,,,RootN and SRL from groot,Bad Drought,Compositae,FORB,ANNUAL,FORB,
CROTALARIA MICROCARPA,Accepted,CROTALARIA MICROCARPA,,,,,1.5,,,0.39,,,,,,,,,,,,,,Ukulinga Drought,Fabaceae,LEGUME,PERENNIAL,LEGUME,
CROTON GLANDULOSUS,Accepted,CROTON GLANDULOSUS,,,,17.5,,,,8.1,38.2464889,,,,,,,,,,,,,BFL,Euphorbiaceae,FORB,ANNUAL,FORB,
CROTON LINDHEIMERIANUS,Accepted,CROTON LINDHEIMERIANUS,,,,,,,,,,,,,,,,,,,,,,BFL,Euphorbiaceae,FORB,ANNUAL,FORB,
CROTON MONANTHOGYNUS,Accepted,CROTON MONANTHOGYNUS,,,,17.5,,,,5.71,18.1,0.1,,,,,,,,,,,,Oklahoma (KAEFS-OK),Euphorbiaceae,FORB,ANNUAL,FORB,
CROTON POTTSII,Accepted,CROTON POTTSII,,,,,,,,,,,1.593333333,,,,,,,,,depth from groot,,"Jornada_LTER Drt, JRN_Chihuahuan",Euphorbiaceae,FORB,PERENNIAL,FORB,
CRUCIATA GLABRA,Accepted,CRUCIATA GLABRA,,77,467.78,17.002,0.194,,,1.43,21.52069774,,0.14,,,,,,,,,,,Pineta,Rubiaceae,FORB,NULL,FORB,
CRYPTANTHA CIRCUMSCISSA,Accepted,CRYPTANTHA CIRCUMSCISSA,,,,,,,,,,,,,,,,,,,,,,"Gmdrc Granitecove, Gmdrc Molar Junction, NNSS_Mojave",Boraginaceae,FORB,ANNUAL,FORB,
CRYPTANTHA INTERMEDIA,Accepted,CRYPTANTHA INTERMEDIA,,,,,,,,0.34025,,,,,,,,,,,,,,NNSS_Mojave,Boraginaceae,FORB,ANNUAL,FORB,
CRYPTANTHA PTEROCARYA,Accepted,CRYPTANTHA PTEROCARYA,,,,,,,0.9,,,,,,,,,,,,,,,"Cap Mcdowell, Gmdrc Granitecove, Gmdrc Molar Junction, NNSS_Mojave",Boraginaceae,FORB,ANNUAL,FORB,
CUCUMIS MYRIOCARPUS,Accepted,CUCUMIS MYRIOCARPUS,,,,,2,,,6.92,,,,,,,,,,,,,,CredoJ,Cucurbitaceae,FORB,ANNUAL,FORB,
CUPHEA FLAVA,Accepted,CUPHEA FLAVA,,,,,,,,,,,,,,,,,,,,,,CredoJ,Cucurbitaceae,FORB,ANNUAL,FORB,
CUSCUTA PLANIFLORA,Accepted,CUSCUTA PLANIFLORA,,,,,,,,0.09,,,,,,,,,,,,,,"CredoJ, CredoM",Convolvulaceae,FORB,ANNUAL,FORB,
CYMBOPOGON CAESIUS,Accepted,CYMBOPOGON CAESIUS,,,,13.857227,,,,,17.88,,,,,,,,,,,,,Ukulinga Drought,Poaceae,GRASS,PERENNIAL,GRASS,
CYMOPTERUS GLOMERATUS,Accepted,CYMOPTERUS GLOMERATUS,,,,,,,,3.02,,,,,,,,,,,,,,North Platte,Apiaceae,FORB,PERENNIAL,FORB,
CYNOSURUS ECHINATUS,Accepted,CYNOSURUS ECHINATUS,,267.77,,,0.475,,,1.490333333,75.9,,,,,0.23175239,,,0.602,,0.14029144,,,SantaCruzHigh,Poaceae,FORB,ANNUAL,GRASS,
CYPELLA HERBERTII,Accepted,CYPELLA HERBERTII,,,,,,,,,,,,,,,,,,,,,,Las Chilcas Drt,Iridaceae,FORB,PERENNIAL,FORB,
CYPERUS ERAGROSTIS,Accepted,CYPERUS ERAGROSTIS,,1058.466667,,,0.9,,,0.115666667,14.342367,,,,,,,,,,,,,Las Chilcas Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,
CYPERUS LUPULINUS,Accepted,CYPERUS LUPULINUS,,,,,,,,,,,,,,,,,,,,,,Konza Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,
CYPERUS REFLEXUS,Accepted,CYPERUS REFLEXUS,,,,,0.5,,,0.02,11.65762839,0.396666667,,,,,,,,,,,,Mar Chiquita Drt,Cyperaceae,GRASS,PERENNIAL,GRAMINOID,
CYPRIPEDIUM PARVIFLORUM,Accepted,CYPRIPEDIUM PARVIFLORUM,,,,,,,,,,,,,,,,,,,,,,Brookdale,Orchidaceae,FORB,PERENNIAL,FORB,
CYTISUS SCOPARIUS,Accepted,CYTISUS SCOPARIUS,,28.1413037,,31.01944444,1.7959,,,8.447442546,22.29605641,0.140737037,0.4064,,,0.225212487,,,0.314,,,,,Cowichan Drt,Fabaceae,SHRUB,PERENNIAL,LEGUME,
DACTYLORHIZA MACULATA,Accepted,DACTYLORHIZA MACULATA,,1420.8,426.3,22.6,0.6,,,,24.23285714,,,,,0.120096667,,,,,,,,"Lygra_intermediate, Lygra_old, Pineta",Orchidaceae,FORB,NULL,FORB,
DALEA ENNEANDRA,Accepted,DALEA ENNEANDRA,,,,,,,,,,,,,,,,,,,,,,Cedar Point - Drought-Net,Fabaceae,LEGUME,PERENNIAL,LEGUME,
DALEA SEARLSIAE,Accepted,DALEA SEARLSIAE,,,,,,,,2.92,,,,,,,,,,,,,,Hardware Ranch,Fabaceae,FORB,PERENNIAL,LEGUME,
DALEA VILLOSA,Accepted,DALEA VILLOSA,,,,,0.514,,11.2,1.89,,,1.524,,,,40,,,,,"RootN, RTD, SRL, from groot",,Cedar Creek Trait,Fabaceae,FORB,PERENNIAL,LEGUME,
DANTHONIA CALIFORNICA,Accepted,DANTHONIA CALIFORNICA,,,,21.1,0.6096,,,5.515737923,46.56,,0.4064,,,0.35922,,,,,,,,"ORE IDE AA, SantaCruzHigh",Poaceae,GRASS,PERENNIAL,GRASS,
DANTHONIA DECUMBENS,Accepted,DANTHONIA DECUMBENS,,378,,16.5,0.35,,,1.435575,16.236,,0.45,,,0.343988,,,,,,,,Lygra_intermediate,Poaceae,GRASS,NULL,GRASS,
DANTHONIA MONTEVIDENSIS,Accepted,DANTHONIA MONTEVIDENSIS,,,,,0.223648649,,,,,,,,,,,,,,,,,Las Chilcas Drt,Poaceae,NULL,NULL,GRASS,
DAPHNE LAUREOLA,Accepted,DAPHNE LAUREOLA,,1522.736667,,,0.9625,,,,9.236666667,,,,,0.27733,,,,,,,,Pineta,Thymelaeaceae,WOODY,NULL,WOODY,
DAUCUS GLOCHIDIATUS,Accepted,DAUCUS GLOCHIDIATUS,,122.418125,,,0.19,,,1.67,24.46724868,,,,,0.33941782,,,1.22,,0.17184265,,,"Broken Hill, Jilpanger",Apiaceae,FORB,ANNUAL,FORB,
DELPHINIUM MENZIESII,Accepted,DELPHINIUM MENZIESII,,,,,,,,1.317,,,,,,,,,,,,,,Cowichan Drt,Ranunculaceae,FORB,PERENNIAL,FORB,
DESCURAINIA PINNATA,Accepted,DESCURAINIA PINNATA,,,,,,,,0.106357143,15.6,,,,,,,,,,,,,"Gmdrc Granitecove, JRN_Chihuahuan, NNSS_Mojave, North Platte",Brassicaceae,FORB,PERENNIAL,FORB,
DESMANTHUS ACUMINATUS,Accepted,DESMANTHUS ACUMINATUS,,,,,,,,4.5,,,,,,,,,,,,,,BFL,Fabaceae,FORB,PERENNIAL,LEGUME,
DESMODIUM ROTUNDIFOLIUM,Accepted,DESMODIUM ROTUNDIFOLIUM,,,,,,,,,,0.18,,,,,,,,,,,,Sandhills,Fabaceae,LEGUME,PERENNIAL,LEGUME,
DIANTHUS SEROTINUS,Accepted,DIANTHUS SEROTINUS,,39.55,,,,,,,8.61,,,,,0.3965812,,,,,,,,Kiskunsag,Caryophyllaceae,FORB,PERENNIAL,FORB,
DICHANTHELIUM OLIGOSANTHES,Synonym,PANICUM OLIGOSANTHES,"synonym already list, at different sites",,422.1,12.8,0.2083,448,4.73,,23.2764706,0.12,,,,,7.466,,0.36,,,,,"BFL, Cedar Point - Drought-Net, Konza Drt, Oklahoma (KAEFS-OK)",Poaceae,GRASS,PERENNIAL,GRASS,
DICHELACHNE CRINITA,Accepted,DICHELACHNE CRINITA,,234.51,,,1.25,,,0.39,13.22276,,,,,0.3353087,,,0.51,,0.15799928,,,Yarramundi Drt,Poaceae,GRASS,PERENNIAL,GRASS,
DICHELOSTEMMA CAPITATUM,Accepted,DICHELOSTEMMA CAPITATUM,,,,,,,,,,,0.1,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank, Gmdrc Molar Junction",Asparagaceae,FORB,ANNUAL,FORB,
DICHOPOGON STRICTUS,Accepted,DICHOPOGON STRICTUS,,,,,,,,1.88,,,,,,,,,,,,,,Jilpanger,Asparagaceae,FORB,PERENNIAL,FORB,
DIGITARIA CALIFORNICA,Accepted,DIGITARIA CALIFORNICA,,,,12.9905373,1.2192,,,0.403998187,20.9,,0.254,,,,,,,,,,,Los Cerrillos,Poaceae,GRASS,PERENNIAL,GRASS,
DIGITARIA COGNATA,Accepted,DIGITARIA COGNATA,,354.1725,453.66,18.09515288,0.242,,,0.55,30.42998108,,,,,,,,,74.75852252,0.616653509,,,"Cedar Creek Savanna, Cedar Creek Trait ",Poaceae,GRASS,PERENNIAL,GRASS,
DIHETEROPOGON AMPLECTENS,Accepted,DIHETEROPOGON AMPLECTENS,,,,7.1951461,,,,,15.69,,,,,,,,,,,,,Ukulinga Drought,Poaceae,GRASS,PERENNIAL,GRASS,
DIODELLA APICULATA,Accepted,DIODELLA APICULATA,,,,,,,,,,,,,,,,,,,,,,Guaribas,Rubiaceae,FORB,PERENNIAL,FORB,
DIODIA TERES,Synonym,DIODELLA TERES,Synonym,,,,,,,,,,,,,,,,,,,,,"BFL, SLP",Rubiaceae,FORB,ANNUAL,FORB,
DIPCADI VIRIDE,Accepted,DIPCADI VIRIDE,,,,,,,,1.48,,,,,,,,,,,,,,Ukulinga Drought,Asparagaceae,FORB,PERENNIAL,FORB,
DIPLOTAXIS TENUIFOLIA,Accepted,DIPLOTAXIS TENUIFOLIA,,2296,,,0.575,,,0.301583333,22.45,,,,,0.113,,,,,,,,Naposta,Brassicaceae,FORB,BIENNIAL,FORB,
DISTICHLIS distichophylla,Accepted,DISTICHLIS distichophylla,,314.159,,,0.6,,,1.424,5.262611,,,,,0.3912275,,,,,,,,Jilpanger,Poaceae,GRASS,PERENNIAL,GRASS,
DODECATHEON HENDERSONII,Accepted,DODECATHEON HENDERSONII,,,,,,,,,,,,,,,,,,,,,,Cowichan Drt,Primulaceae,FORB,PERENNIAL,FORB,
DROSERA ABERRANS,Accepted,DROSERA ABERRANS,,300.3035,,,0.03,,,0.305,10.411994,,,,,0.9457,,,,,,,,Jilpanger,Droseraceae,FORB,PERENNIAL,FORB,
DROSERA GLANDULIGERA,Accepted,DROSERA GLANDULIGERA,,,,,0.02462529,,,0.04446,,,,,,,,,,,,,,Jilpanger,Droseraceae,FORB,PERENNIAL,FORB,
DROSERA HOOKERI,Accepted,DROSERA HOOKERI,,,,,,,,,,,,,,,,,,,,,,Jilpanger,Droseraceae,FORB,PERENNIAL,FORB,
ECHINOPS SPHAEROCEPHALUS,Accepted,ECHINOPS SPHAEROCEPHALUS,,,,,1.4375,,,14.24716667,,,,,,,,,,,,,,Bad Drought,Compositae,FORB,BIENNIAL,FORB,
ECHIUM VULGARE,Accepted,ECHIUM VULGARE,,4523,385.4,23.6,0.716666667,,,2.910548718,14.45,,2.57,,,0.142,,,0.385,,,,,"Allmend Brachy, Allmend Ovina",Boraginaceae,FORB,PERENNIAL,FORB,
ELEOCHARIS BONARIENSIS,Accepted,ELEOCHARIS BONARIENSIS,,,,,,,,,,,,,,,,,,,,,,Mar Chiquita Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,
ELEOCHARIS VIRIDANS,Accepted,ELEOCHARIS VIRIDANS,,,,,,,,,,,,,,,,,,,,,,Las Chilcas Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,
ELYMUS SMITHII,Accepted,ELYMUS SMITHII,,615.48375,444.0285,28.0185,0.6096,,17.06975875,3.193625998,31.74700117,0.277777778,0.508,,,,73.5,,,,,"RootN, SRL from groot",,Biddulph,Poaceae,GRAMINOID,PERENNIAL,GRASS,
ELYMUS SPICATUS,Accepted,ELYMUS SPICATUS,,,,,0.8382,,,3.867837198,,0.0975,0.254,,,,,,,,,,,CMSS,Poaceae,GRASS,PERENNIAL,GRASS,
ELYMUS TRACHYCAULUS,Accepted,ELYMUS TRACHYCAULUS,,485.088,417.39,13.85333333,0.466,433.98,8.22,3.359,11.45053,,1.07,,,0.33435,62.476,,,,,"RootC and N, SRL from groot",,"Kernen_burned, Kernen_unburned, Kinsella",Poaceae,GRAMINOID,PERENNIAL,GRASS,
EMEX AUSTRALIS,Accepted,EMEX AUSTRALIS,,,,,,,,,,,,,,,,,,,,,,"Charleville, Cobar",Polygonaceae,FORB,ANNUAL,FORB,
ENCELIA FARINOSA,Accepted,ENCELIA FARINOSA,,,,,0.9144,,,5.16631953,,0.254625,0.3048,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank",Compositae,FORB,ANNUAL,FORB,
ENNEAPOGON CAERULESCENS,Accepted,ENNEAPOGON CAERULESCENS,,,,,0.4,,,0.3098,,,,,,,,,,,,,,"CredoJ, CredoM",Poaceae,GRASS,PERENNIAL,GRASS,
ENTEROPOGON RAMOSUS,Accepted,ENTEROPOGON RAMOSUS,,224.25,,,1,,,0.735,,,,,,,,,,,,,,"CredoJ, CredoM",Poaceae,GRASS,PERENNIAL,GRASS,
EPHEDRA NEVADENSIS,Accepted,EPHEDRA NEVADENSIS,,,,,0.9144,,,25.11938292,,,0.1524,,,,,,,,,,,NNSS_Mojave,Ephedraceae,SHRUB,PERENNIAL,WOODY,
EPILOBIUM ANGUSTIFOLIUM,Accepted,EPILOBIUM ANGUSTIFOLIUM,,2874.814815,478.7734326,26.69696541,1.0483,,,0.155669643,19.77553761,0.215233333,0.627,,,0.264170862,261.095,,,40.07486022,,SRL from groot,,Bad Drought,Onagraceae,FORB,PERENNIAL,FORB,
EPILOBIUM BRACHYCARPUM,Accepted,EPILOBIUM BRACHYCARPUM,,59.229,433.38,30.48666667,0.286,408.3654022,10.95816314,0.372,21.56584,,,,,0.16695,81.71053333,,,,,"RootC and N, SRL from groot",,"ORE IDE AA, ORE IDE AC",Onagraceae,FORB,ANNUAL,FORB,
EPILOBIUM TETRAGONUM,Accepted,EPILOBIUM TETRAGONUM,,,,,0.720833333,,,0.103958889,15.9,,,,,,,,,,,,,"Bad Drought, Jena",Onagraceae,FORB,PERENNIAL,FORB,
Epipactis PALUSTRIS,Accepted,Epipactis PALUSTRIS,,,,,,,,,22.62,,,,,,,,,,,,,Pineta,Orchidaceae,FORB,NULL,FORB,
EQUISETUM ARVENSE,Accepted,EQUISETUM ARVENSE,,104.4227778,376.42654,20.06733732,0.344317143,,,,13.18450744,0.496,0.2262,,,0.30163971,,,,,,,,"EE Elva, Rhijnauwen, Teshio Experimental Grassland",Equisetaceae,FORB,PERENNIAL,FORB,
ERAGROSTIS DIELSII,Accepted,ERAGROSTIS DIELSII,,90,,,0.3,,,0.062,5.7,,,,,,,,,,,,,"CredoJ, CredoM",Poaceae,GRASS,ANNUAL,GRASS,
ERAGROSTIS ORTHOCLADA,Accepted,ERAGROSTIS ORTHOCLADA,,,,,,,,,,,,,,,,,,,,,,Los Cerrillos,Poaceae,GRASS,PERENNIAL,GRASS,
ERAGROSTIS SETIFOLIA,Accepted,ERAGROSTIS SETIFOLIA,,96.342,,11.63,0.38,,,0.040933333,7.946703097,0.183,,,,0.53,,,,,,,,"Milparinka, Quilpie",Poaceae,GRASS,PERENNIAL,GRASS,
ERAGROSTIS SPECTABILIS,Accepted,ERAGROSTIS SPECTABILIS,,578.1581667,450.095,10.935,0.23375,,,0.155112716,24.79827372,,0.1016,,,0.422245229,,,,,,,,"Bivens Arm, Cedar Creek Savanna, Konza Drt, Oklahoma (KAEFS-OK)",Poaceae,GRAMINOID,PERENNIAL,GRASS,
EREMOGONE CONGESTA,Accepted,EREMOGONE CONGESTA,,,,,,,,1.195,,,,,,,,,,,,,,"CMSS, ORE IDE AA",Caryophyllaceae,FORB,PERENNIAL,FORB,
EREMOPHILA DUTTONII,Accepted,EREMOPHILA DUTTONII,,102.422,,,2.4,,,28.06366667,5.646986263,0.485333333,,,,0.092207021,,,,,,,,Cobar,Scrophulariaceae,SHRUB,NULL,WOODY,
