"","Taxon","site_code","mean.drt.cover.yr1","mean.drt.cover.yr2","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"64","BERBERIS NERVOSA","cowidrt.ca",50,20,-30,NA,0.6096,NA,10.38,0.4064,NA,18.14285714,NA,"SHRUB","PERENNIAL","WOODY"
"65","BOERHAVIA DIFFUSA","cerrillos.ar",0.63,1.25,0.62,NA,0.55,NA,20.76,1.2,NA,14.29,NA,"FORB","PERENNIAL","FORB"
"67","BOUTELOUA CURTIPENDULA","konzadrt.us",3.5,20,16.5,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032,"GRASS","PERENNIAL","GRASS"
"68","BOUTELOUA GRACILIS","nplatte.us",20.8,5.142857143,-15.65714286,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"GRASS","PERENNIAL","GRASS"
"69","BOUTELOUA GRACILIS","mattheis.ca",26,23,-3,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"GRASS","PERENNIAL","GRASS"
"70","BRACHYPODIUM PINNATUM","allmendb.ch",13,11.58333333,-1.416666667,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"GRASS","PERENNIAL","GRASS"
"71","BRACHYPODIUM PINNATUM","allmendo.ch",6.083333333,4.5,-1.583333333,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"GRASS","PERENNIAL","GRASS"
"72","BRACHYPODIUM PINNATUM","pineta.es",15.5,4.5,-11,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"GRASS","PERENNIAL","GRASS"
"73","BRACHYPODIUM RETUSUM","ayora.es",24.33333333,30,5.66666667,7.1,0.4,NA,16.24363109,0.2586667,NA,25.86916574,0.85,"GRASS","PERENNIAL","GRASS"
"74","BRIZA MEDIA","allmendo.ch",2.416666667,2.416666667,-3.33e-10,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"75","BRIZA MEDIA","allmendb.ch",2.5,2.5,0,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"76","BRIZA MEDIA","elvadrt.ee",25,30,5,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"GRASS","PERENNIAL","GRASS"
"80","BROMUS ERECTUS","allmendo.ch",15.66666667,15.25,-0.41666667,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,"GRASS","PERENNIAL","GRASS"
"81","BROMUS ERECTUS","allmendb.ch",22.08333333,17.58333333,-4.499999997,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,"GRASS","PERENNIAL","GRASS"
"84","BROMUS INERMIS","brookdale.ca",3.65,2.4,-1.25,21.49936399,0.81,17.20145333,17.7899321,0.3048,0.268601793,108.7724975,0.281416667,"GRASS","PERENNIAL","GRASS"
"90","BROMUS SETIFOLIUS","paike.ar",2.5,2.5,0,NA,0.102,NA,20.31,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"95","CALAMOVILFA LONGIFOLIA","cedarsav.us",5,2.5,-2.5,13.59,0.968,5.2246,10.96892152,0.508,0.18,33,0.48,"GRAMINOID","PERENNIAL","GRASS"
"96","CALLUNA VULGARIS","hoide.de",85,89.33333333,4.333333333,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)","PERENNIAL","WOODY"
"97","CALLUNA VULGARIS","lygraint.no",78.33333333,81.33333333,3.000000003,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)","PERENNIAL","WOODY"
"98","CALLUNA VULGARIS","lygraold.no",83.33333333,91.66666667,8.333333337,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)","PERENNIAL","WOODY"
"99","CALLUNA VULGARIS","hyide.de",65.66666667,90,24.33333333,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)","PERENNIAL","WOODY"
"100","CALYLOPHUS SERRULATUS","oklah.us",15,15,0,NA,NA,NA,11.69,1.33,NA,NA,NA,"FORB","PERENNIAL","FORB"
"101","CAMASSIA QUAMASH","cowidrt.ca",5,5,0,NA,0.70104,NA,12.08,0.254,NA,NA,NA,"GRASS","PERENNIAL","FORB"
"102","CAMPANULA PATULA","elvadrt.ee",1,1,0,NA,0.4375,14.26593954,33.98333333,0.29,0.0375,NA,0.265133333,"FORB","PERENNIAL","FORB"
"103","CAMPANULA ROTUNDIFOLIA","biddulph.ca",4,7,3,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,"FORB","PERENNIAL","FORB"
"104","CAMPANULA ROTUNDIFOLIA","kernb.ca",0.5,0.5,0,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,"FORB","PERENNIAL","FORB"
"105","CAMPANULA ROTUNDIFOLIA","kernnu.ca",0.5,0.666666667,0.166666667,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,"FORB","PERENNIAL","FORB"
"108","CAREX ARENARIA","hoide.de",1.666666667,10,8.333333333,19.12604168,0.384259259,NA,14.42164292,1.02,NA,NA,NA,"GRAMINOID","PERENNIAL","GRAMINOID"
"109","CAREX ARENARIA","hyide.de",1.333333333,8.333333333,7,19.12604168,0.384259259,NA,14.42164292,1.02,NA,NA,NA,"GRAMINOID","PERENNIAL","GRAMINOID"
